ResponseId,team_name,Issue,"basis (1 = Intuition, 2 = Theory, 3 = Sim, 4 = Data, 5 = Other)",basis_5_TEXT,model,theory,parameters,Other Entries (documents and/or previous submissions),numpred_4,OT Type,TS Type,Type Difference?,OT New Type,TS New Type,Type Difference 2.0,Type.Final,OT New Comments,TS New Comments,dr. G ruling,OT Complexity,TS Complexity,Type Difference?,OT New Complexity,TS New Complexity,Complexity Difference 2.0,Complexity.Final,OT New Comments,TS New Comments, OT Flag,TS Flag,OT.comment,TS.comment
R_WASIBllES8jF0t3,R4VST9 - Revised,iasian,"1,5","We based our predictions on the data pattern from the previous years and potential future events (e.g., COVID19 and Presidential election, etc.) ","We did not apply any algorithms or models. 
We predicted based on the visual pattern of the previous years and potential future events. ",NA,NA,,NA,3,1,1,1,1,0,1,"Although they mention data pattern, participant response implies it was a visual analysis only","Since the participant mentioned that they did not apply any algorithm or model, instead they just look at the pattern of previous data, it seems like they are using their intuition while doing forecasts",,1,1,0,1,1,0,1,,,,,,
R_1C41iSRHRcK8H7i,Mr Muddle ,easian,"1,2",NA,NA,"My forecast is based broadly on the evolutionary underpinnings of racism in general. From an evolutionary viewpoint, humans have spent much of our evolutionary history interacting mainly with people of the same community (tribe), and ""outsiders"" are often viewed as ""dangerous"" as evidence has suggested intergroup conflicts were rife and were often deadly. Fast forward to the modern day, while people in the U.S have generally learned to live fairly harmoniously with people who are ethnically different from each other through education and social learning. However, explicit bias towards people who are different to the majority group (e.g., Asian-American bias) might become more apparent again as such evolved cognitive bias are activated by regular reports of the coronavirus links to China and with President Trump and the White House regularly reinforcing such ideas. In addition, when people are faced with threats to their survival, they also tended to become more impulsive from an evolutionary standpoint as a strategy to cope with the stressors and the easier (wrong) option is for some people to direct their fears and anger towards a perceived outgroup who have been accused by some to be at fault.  ","COVID-19 cases and death rates could predict how much longer the virus outbreak will last, and hence how much more distress the population is going to be put under; thereby predicting people's reactions to these stressors. The same could be said for lockdown restriction measures across the U.S.
The date of the U.S presidential elections will predict how a rise of these bias as Donald Trump is likely going to bank on an anti-China, protect U.S selling point for his campaign. ",,3,2,2,0,2,2,0,2,,,,1,1,0,1,1,0,1,,,1,,,
R_3lzeKBOZqIExUsr,polarization-2020CO,lifesat,1,NA,NA,NA,NA,,NA,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_3lzeKBOZqIExUsr,polarization-2020CO,polar,1,NA,NA,NA,NA,,NA,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_3lzeKBOZqIExUsr,polarization-2020CO,iasian,1,NA,NA,NA,NA,,NA,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_3lzeKBOZqIExUsr,polarization-2020CO,easian,1,NA,NA,NA,NA,,NA,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_DAEDt5Ai3qF481z,Seaside,lifesat,2,NA,NA,"The forecast is based on the phenomenon of hedonic adaptation, by which people tend to rever to their baseline level of happiness after a significant event, such as the Covid-19 pandemic. ","I also considered the probability that the recession would not be worse a year from now. While this is quite uncertain, I have assumed that a year from now the economic situation will be better, not worse. ",,1,2,2,0,2,2,0,2,,,,1,1,0,1,1,0,1,,,1,,,
R_1MSUHSwe1zPiuOQ,CarrNCUSA,lifesat,"1,4",NA,Estimating the AR process in the time series and then adjusting based on intuition. ,NA,None,,0,4,4,0,4,4,0,4,,,,2,2,0,2,2,0,2,,,,,,
R_1MSUHSwe1zPiuOQ,CarrNCUSA,ideolrep,4,NA,"Forecasts derived from an AR model of the democrat and republican time series, with updated values from 538 for April and May. ",N/A,None,,0,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,,,,,,
R_1MSUHSwe1zPiuOQ,CarrNCUSA,ideoldem,4,NA,"Forecasts derived from an AR model of the democrat and republican time series, with updated values from 538 for April and May. ",N/A,None,,0,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,,,,,,
R_2WB8J6PdmAAQGbM,Little Bear,polar,1,NA,NA,NA,NA,,2,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_2RWFd9H3z37Yqmb,Foxtrot,polar,"1,2,5",Using baserates,Base rates,The assumptions involve the use of recent baserates plus the likely impact of increased polarization following party conventions and proximity to the general election,See above,,3,4,2,1,4,4,0,4,"Base rates indicates some sort of data-driven approach. Combined with thei bases of theory & intuition, I consider this a hybrid approach","The participant indicated use of theory, data-driven method(base-rate, which works similarly as the means) and intuition, thus should be a 4(hybrid)",,2,1,1,1,1,0,1,,"Base rate here should be similarly to the mean of past data, thus I think its complexity should be 1",,,,
R_3nJlV17e4so1J8U,Old Chickens,lifesat,"2,4",NA,Time series linear regression model,Hedonic adaptation. Use the 2009 great recession to estimate the depth and length of temporary dip in Cantril Ladder scores.,NA,,0,4,4,0,4,4,0,4,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_3nJlV17e4so1J8U,Old Chickens,ideolrep,"1,4",NA,Time series model,"1. COVID will have no effect on political ideology
2. political ideology temporarily spikes when there is a partisan event (election, impeachment)
3. political ideology is generally on the rise",none,,0,4,4,0,4,4,0,4,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_3nJlV17e4so1J8U,Old Chickens,ideoldem,"1,4",NA,Time series model,"1. COVID will have no effect on political ideology
2. political ideology temporarily spikes when there is a partisan event (election, impeachment)
3. political ideology is generally on the rise",none,,0,4,4,0,4,4,0,4,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_3nJlV17e4so1J8U,Old Chickens,polar,"1,4",NA,I observed polarization data going back to 2010 and noticed that it's generally increased over the Obama years and that increase has been even faster under Trump. I also notices spikes around the general elections. I modelled the next year as a continuation of the Trump trend with a spike that averages the two spikes for the '12 and '16 elections.,none,none,,0,4,4,0,4,4,0,4,,,,2,2,0,2,2,0,2,,,,,,
R_3nJlV17e4so1J8U,Old Chickens,iafric,4,NA,I noted a cyclic pattern so I fit a sinusoidal curve with a period of 365 days,none,none,,0,3,3,0,3,3,0,3,,,,2,1,1,1,1,0,1,,"The sin curve here seems like a simple drift model with no additional variable, so I put a 1 in its complexity",,,,
R_2bWyfocCOaKkcNN,Abracadabra,lifesat,"2,4",NA,"Wisdom of the Crowd prediction. Conducted an MTurk study using 244 US citizens. Showed them the data plot and asked them to predict the happiness scores for the next 12 months. One person was removed because they clearly were a bot based on their responses to open-ended questions. Additionally, the data for a further 10 people were removed because they asked for it to be removed as they felt that they were not qualified to make this prediction. For the remaining people we took the median forecast for each month. ","Wisdom of the Crowd prediction. Conducted an MTurk study using 244 US citizens. Showed them the data plot and asked them to predict the happiness scores for the next 12 months. One person was removed because they clearly were a bot based on their responses to open-ended questions. Additionally, the data for a further 10 people were removed because they asked for it to be removed as they felt that they were not qualified to make this prediction. For the remaining people we took the median forecast for each month. ","As explained above, we conducted an MTurk study to get predictions from 244 US citizens.",,1,4,4,0,4,4,0,4,,,,1,1,0,1,1,0,1,,,,,,
R_1mO50GpjmlgoPYd,TCHETCHE,ideolrep,1,NA,NA,NA,My hypotheses to me is that as a big nation number world the USA must liberalize all the people so that each one is on his own account because his veto on this law will be able to make many countries truly independent and will develop his economy even more worldwide.,,52,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_1feG7nZChYPoRsc,Spartacus,lifesat,"2,4",NA,NA,NA,NA,,NA,4,4,0,4,4,0,4,,,,,,0,,,0,,,,1,1,No basis provided,no basis indicated
R_12L9npXg1YbCpY7,Heather Shimmer,iasian,4,NA,Regression modeling,NA,None,,0,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,,,,,,
R_12L9npXg1YbCpY7,Heather Shimmer,iafric,4,NA,Regression modeling,NA,None,,0,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,,,,,,
R_12L9npXg1YbCpY7,Heather Shimmer,igend,4,NA,Regression modeling,NA,None,,0,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,,,,,,
R_37QXf00ixlpprj3,BlackSwan,lifesat,2,NA,NA,"There is research (by Diener) suggesting that people's life satisfaction is generally relatively high, even in countries with lower quality of life. There is also research (by Janoff-Buhlmann) suggesting that after a negative event (such as the current crisis) people's happiness drops but quickly recovers thereafter.","I just roughly estimated how long the crisis might last on the basis of how long it lasted in some countries (e.g., China, South Korea)",,1,2,2,0,2,2,0,2,,,,1,1,0,1,1,0,1,,,,,,
R_37QXf00ixlpprj3,BlackSwan,polar,1,NA,NA,"I estimate that political polarization scores remain high. I estimate that the lifting of the lockdown restriction will be one political issue in the upcoming time but I am not sure whether republican vs. democrat voters are clearly divided on this issue. I think all other topics on which people are divided in the U.S. are still salient, e.g., gender, race, the Trump presidency. Therefore I did not anticipate polarization to go down ",none,,NA,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_37QXf00ixlpprj3,BlackSwan,iasian,1,NA,NA,"I do not see any strong theoretical reason why the current crisis should impact the implicit Asian-American Bias. Also, as far as I see it political discussions in the U.S. revolve more about the relationship between Afro-Americans and Caucasions, and Asians are not in the focus of attention.",-,,NA,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_37QXf00ixlpprj3,BlackSwan,easian,1,NA,NA,"I estimate that the current administration may continue to blame China for the outbreak of the crisis during the lockdown. Therefore I estimate that explicit bias remains high during the lockdown. Once the crisis levels off, I estimate explicit Asian-American Bias will return to baseline levels.",the estimated trajectory of the crisis on the basis of its trajectory in other countries,,1,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_37QXf00ixlpprj3,BlackSwan,iafric,1,NA,NA,"I could imagine that because on averabe African-Americans have lower SES than Caucasian-americans, the may suffer somewhat more from the lockdown but I was not convinced that this should strongly impact the implicit African-American Bias.",-,,NA,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_37QXf00ixlpprj3,BlackSwan,eafric,1,NA,NA,"Because I did not see a strong reason why the current crisis should affect American's explicit attitudes toward African-Americans, I simply continued the line. In my reading of the graph, over the past years explicit attitudes improved toward African-Americans, but I do not anticipate that they improve endlessly.",-,,NA,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_37QXf00ixlpprj3,BlackSwan,igend,1,NA,NA,"I heard about concerns that the corona crisis will push back women into their traditional roles. Intuitively I simply do not think this will be the case, therefore I simply continued the line without substantial changes.",I do not think the crisis will have any impact on implicit career bias,,NA,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_37QXf00ixlpprj3,BlackSwan,egend,1,NA,NA,"unfortunately, I am not sure whether I correctly read the graph. I was not sure which end of the y-Achse meant a stronger association of men with career. Therefore, I simply continued the graph. I would predict however, that explicitly men will become less associated with career and more with family because it is politically fashionable",my predictions are independent of the trajectory of the crisis. I do not think the crisis will have a storng impact. ,,NA,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_2tOPX9BWjIhaOf7,Duckling Power,lifesat,"1,2",NA,NA,Behavioral theories of peak-end + importance of income in life satisfaction combined with intuition about the path of the economy over the next 12 months.,"economic conditions (unemployment, mostly), election. Assuming continual economic ""bad news"" through the fall and increased political gridlock, culminating in a divisive election.",,3,2,2,0,2,2,0,2,,,,1,1,0,1,1,0,1,,,,,,
R_2tOPX9BWjIhaOf7,Duckling Power,posaffect,"1,4",NA,"Since there seems to be consistent variation by month, the team used a regression model to estimate the OLS coefficients for each month of the year. Moving forward, we estimated these but added +.3 to the negative scores since they seemed to be more affected in March 2020. Positive scores were the simple estimate.

We found it difficult to understand the scores; the description states that they are z-scores relative to the 2017-2020 average. It was unclear if they were z-scores relative to all tweets or just the positive/negative group; assuming all tweets - if so, is the scale reversed?",none,Simply added +.3 to all negative affect scores since it seemed to be affected by COVID in March 2020.,,1,4,4,0,4,4,0,4,,,,2,2,0,2,2,0,2,,,,,,
R_2tOPX9BWjIhaOf7,Duckling Power,negaffect,"1,4",NA,"Since there seems to be consistent variation by month, the team used a regression model to estimate the OLS coefficients for each month of the year. Moving forward, we estimated these but added +.3 to the negative scores since they seemed to be more affected in March 2020. Positive scores were the simple estimate.

We found it difficult to understand the scores; the description states that they are z-scores relative to the 2017-2020 average. It was unclear if they were z-scores relative to all tweets or just the positive/negative group; assuming all tweets - if so, is the scale reversed?",none,Simply added +.3 to all negative affect scores since it seemed to be affected by COVID in March 2020.,,1,4,4,0,4,4,0,4,,,,2,2,0,2,2,0,2,,,,,,
R_3QP87teUhx0shwJ,Patrícia Arriaga,lifesat,2,NA,NA,NA,NA,,NA,2,2,0,2,2,0,2,,,,1,1,0,1,1,0,1,,,,,,
R_2xRiOHuu4tmQ3k1,Average Joes,lifesat,"1,4",NA,Mean reversion,n/a,n/a,,NA,4,4,0,4,4,0,4,,,,2,1,1,1,1,0,1,,"I think the use of mean should be a simple forcasting method, thus I put a 1 in its complexity.",,,,
R_2xRiOHuu4tmQ3k1,Average Joes,posaffect,"1,4",NA,We use the mean of the series,Mean reversion,n/a,,NA,4,4,0,4,4,0,4,,,,2,1,1,1,1,0,1,,same as above,,,,
R_2xRiOHuu4tmQ3k1,Average Joes,negaffect,"1,4",NA,We use the mean of the series,Mean reversion,n/a,,NA,4,4,0,4,4,0,4,,,,2,1,1,1,1,0,1,,same as above,,,,
R_2xRiOHuu4tmQ3k1,Average Joes,polar,"1,4",NA,Mean,Mean reversion,n/a,,NA,4,4,0,4,4,0,4,,,,2,1,1,1,1,0,1,,same as above,,,,
R_2xRiOHuu4tmQ3k1,Average Joes,iasian,"1,4",NA,Mean,Mean reversion,n/a,,NA,4,4,0,4,4,0,4,,,,2,1,1,1,1,0,1,,same as above,,,,
R_2xRiOHuu4tmQ3k1,Average Joes,easian,"1,4",NA,Mean ,Mean reversion,n/a,,NA,4,4,0,4,4,0,4,,,,2,1,1,1,1,0,1,,same as above,,,,
R_2xRiOHuu4tmQ3k1,Average Joes,iafric,"1,4",NA,Mean,Mean,n/a,,NA,4,4,0,4,4,0,4,,,,2,1,1,1,1,0,1,,same as above,,,"suspect they meant mean reversion, to retain consistency with their prior responses",
R_2xRiOHuu4tmQ3k1,Average Joes,eafric,"1,4",NA,MEan,Mean reversion,n/a,,NA,4,4,0,4,4,0,4,,,,2,1,1,1,1,0,1,,same as above,,,,
R_2xRiOHuu4tmQ3k1,Average Joes,igend,"1,4",NA,Mean,Mean reversion,n/a,,NA,4,4,0,4,4,0,4,,,,2,1,1,1,1,0,1,,same as above,,,,
R_2xRiOHuu4tmQ3k1,Average Joes,egend,"1,4",NA,Mean,Mean reversion,n/a,,NA,4,4,0,4,4,0,4,,,,2,1,1,1,1,0,1,,same as above,,,,
R_22JrVlYufUZNS2h,BlackSwanrevised,posaffect,1,NA,NA,Please see my answers to the first survey (not revised),Please see my answers to the first survey (not revised),"As with my estimate on life-satisfaction, there is some research suggesting that after negative life-events (e.g., the current crisis) affect drops but then quickly returns to normal. ","As with my forecasts on life-satisfaction, I estimated the development of the crisis in the U.S. on the basis of the trajectory it took in other countries so far.

I reported that I am not very confident in the accuracy of my forecasts (for all questions) because research indicates that experts are very often wrong in their predictions. 
 ",1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_22JrVlYufUZNS2h,BlackSwanrevised,negaffect,1,NA,NA,Please see my answers to the first survey (not revised),Please see my answers to the first survey (not revised),"As with my estimate on life-satisfaction, there is some research suggesting that after negative life-events (e.g., the current crisis) affect drops but then quickly returns to normal. ","As with my forecasts on life-satisfaction, I estimated the development of the crisis in the U.S. on the basis of the trajectory it took in other countries so far.

I reported that I am not very confident in the accuracy of my forecasts (for all questions) because research indicates that experts are very often wrong in their predictions. 
 ",1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_22JrVlYufUZNS2h,BlackSwanrevised,ideolrep,1,NA,NA,Please see my answer to the original part of this survey.,Please see my answer to the original part of this survey.,"Currently the republicans seem to favor lifting the restrictions more than the democrats. At least in Germany however, the population seemed to be really divided on this issue. Therefore I did not predict a clear trajectory for political Ideology other than that it may simply continue as it did. The longer the lockdown last perhaps the more the population would favor the party who supports lifting the restrictions. ",,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_22JrVlYufUZNS2h,BlackSwanrevised,ideoldem,1,NA,NA,Please see my answer to the original part of this survey.,Please see my answer to the original part of this survey.,"Currently the republicans seem to favor lifting the restrictions more than the democrats. At least in Germany however, the population seemed to be really divided on this issue. Therefore I did not predict a clear trajectory for political Ideology other than that it may simply continue as it did. The longer the lockdown last perhaps the more the population would favor the party who supports lifting the restrictions. ",,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_cD94fLrgJK1053j,blue duiker,polar,1,NA,NA,assumed that polarization over the next year would follow the same trend as observed leading up to 2016 election and after the election (regardless of who wins),NA,,NA,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_5mXcGasI1QWezgl,fearfulastra,lifesat,4,NA,Time-Series Regression with Monthly adjustment,"The variances in the value were tiny relative to the range available to the metric, meaning that even huge shocks to the system wouldn't result in huge differences in the data. In one sense, this is useful evidence for a hedonic treadmill interpretation of Life satisfaction--we really shouldn't expect it change much in the long run.",None.,,NA,4,3,1,4,3,1,3,Mention of hedonic treadmill in their forecast expectation,"The participant indicated a 4 in their basis column, thus it should be data-driven",Should be a 3,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_5mXcGasI1QWezgl,fearfulastra,posaffect,4,NA,Time-series regression with monthly adjustments,None,None,,NA,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_5mXcGasI1QWezgl,fearfulastra,negaffect,4,NA,Time-series regression with monthly adjustments,None,None,,NA,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_5mXcGasI1QWezgl,fearfulastra,ideolrep,4,NA,Time-series regression with monthly adjustments,None,None,,NA,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_5mXcGasI1QWezgl,fearfulastra,ideoldem,4,NA,Time-series regression with monthly adjustments,None,None,,NA,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_5mXcGasI1QWezgl,fearfulastra,polar,4,NA,Time-series regression with Monthly Adjustments,None,None,,NA,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_5mXcGasI1QWezgl,fearfulastra,iasian,4,NA,Time series regression with monthly adjustments,None,None,,NA,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_5mXcGasI1QWezgl,fearfulastra,easian,4,NA,Time series regression with monthly adjustments,None,"I considered attempting to model an uptick in explicit bias against Asian-Americans as a consequence of racially-motivated explanations for social difficulties arising from the Pandemic, but couldn't operationalize it in a defensible way with the amount of time available.",,NA,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_5mXcGasI1QWezgl,fearfulastra,iafric,4,NA,Time series regression with monthly adjustments,None,NA,,NA,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_5mXcGasI1QWezgl,fearfulastra,eafric,4,NA,Time-series Regression with Monthly Adjustments,None,None,,NA,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_5mXcGasI1QWezgl,fearfulastra,igend,4,NA,Time-series regression with monthly adjustments,None,None,,NA,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
R_5mXcGasI1QWezgl,fearfulastra,egend,4,NA,Time-series regression with monthly adjustments,None,None,,NA,3,3,0,3,3,0,3,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
