,Duration..in.seconds.,ResponseId,phase,team_name,domain,Month.1,Month.2,Month.3,Month.4,Month.5,Month.6,Month.7,Month.8,Month.9,Month.10,Month.11,Month.12,Month.13,Month.14,Month.15,Month.16,Month.17,Month.18,confidence,subexpert,pub,basis,basis_5_TEXT,model,theory,parameters,numpred,covidcondyn,covidmeas,covidmeas_6_TEXT,coviddesc,covidest_1,covidest_2,covidest_3,covidest_4,covidest_5,covidest_6,covidest_7,covidest_8,covidest_9,covidest_10,covidest_11,covidest_12,datatrain,counterfact,counter_imp,counter_yn,othercounter,othercountim,Method,isExpert,ResponseId.old,revised,team_size,team_expertise,team_size.coded,team_discipline.coded,team_discipline.missingdat,previous_tournament.coded,previous_tournament.missingdat,Age,Sex,Genderident,Genderident_5_TEXT,Occupation,Ethnicity,Education,Religion,Religion_Other,Politics_1,Country.of.Residence,Residential.Area,Income,time_upload,Method.coded,Method.complex,DataOnly,mean_error_w1,root_mean_sqr_error_w1,mean_abs_error_w1,mean_percent_error_w1,mean_abs_percent_error_w1,MASE1_w1,RMSE_cutoff_Naive_linear,RMSE_cutoff_Naive_rwf,compare_to_naive_linear,compare_to_naive_rwf,MASE_cutoff_Naive_linear,MASE_cutoff_Naive_rwf,compare_to_naive_linear_MASE,compare_to_naive_rwf_MASE,time_spent,mean_error_covid,root_mean_sqr_error_covid,mean_abs_error_covid,mean_percent_error_covid,mean_abs_percent_error_covid,MASE1_covid,mean_error_w1_lastmonths,root_mean_sqr_error_w1_lastmonths,mean_abs_error_w1_lastmonths,mean_percent_error_w1_lastmonths,mean_abs_percent_error_w1_lastmonths,MASE1_w1_lastmonths,mean_error_w2,root_mean_sqr_error_w2,mean_abs_error_w2,mean_percent_error_w2,mean_abs_percent_error_w2,MASE1_w2,RMSE_cutoff_Naive_linear_w2,RMSE_cutoff_Naive_rwf_w2,compare_to_naive_linear_w2,compare_to_naive_rwf_w2,MASE_cutoff_Naive_linear_w2,MASE_cutoff_Naive_rwf_w2,compare_to_naive_linear_MASE_w2,compare_to_naive_rwf_MASE_w2,team_gender,team_education,team_Age,non_US,CounterFactual_Presence_Final,COVID.Final,Onus.Final,counterNum,justification_dataReceived,justification_theoreticalInsight,justification_externalEvent,parameters_coded,TournamentStart,ForecastisUpdated
11,2790,R_2UgadrXE2OiyQIB,1,TheMets,negaffect,0.973,0.955,0.973,0.955,0.973,0.955,0.973,0.955,0.973,0.955,0.973,0.955,NA,NA,NA,NA,NA,NA,3,2,2,5,Mean-Median regression,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,See answers on Life Satisfaction,NA,2,NA,NA,Data-Driven,1,R_2UgadrXE2OiyQIB,0,1,,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0.856591373,0.92738411,0.856591373,44.6265375,44.6265375,4.362537621,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,NA,NA,NA,NA,NA,NA,0.694375399,0.791063771,0.694375399,38.68640102,38.68640102,3.536387243,0.694375399,0.791063771,0.694375399,38.68640102,38.68640102,3.445792639,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,32,100,0,0,0,0,NA,NA,NA,0,May,NA
12,2790,R_2UgadrXE2OiyQIB,1,TheMets,ideolrep,36.7,36.5,36.7,36.5,36.7,36.5,36.7,36.5,36.7,36.5,36.7,36.5,NA,NA,NA,NA,NA,NA,3,2,2,5,See answers on Life Satistfaction,See answers on Life Satistfaction,See answers on Life Satistfaction,See answers on Life Satistfaction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,See answers on Life Satistfaction,NA,2,NA,NA,Data-Driven,1,R_2UgadrXE2OiyQIB,0,1,,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,6.012542273,6.395259997,6.012542273,13.90295952,13.90295952,6.173479891,0,0,Below Naive linear,Below Naive rwf,0,0,Below Naive linear,Below Naive rwf,NA,NA,NA,NA,NA,NA,NA,6.821428572,7.421956533,6.821428572,15.34479107,15.34479107,7.004017637,6.821428572,7.421956533,6.821428572,15.34479107,15.99864892,6.712447487,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,32,100,0,0,0,0,NA,NA,NA,0,May,NA
13,2790,R_2UgadrXE2OiyQIB,1,TheMets,ideoldem,43.3,42.8,43.3,42.8,43.3,42.8,43.3,42.8,43.3,42.8,43.3,42.8,NA,NA,NA,NA,NA,NA,3,2,2,5,See answers on Life Satistfaction,See answers on Life Satistfaction,See answers on Life Satistfaction,See answers on Life Satistfaction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,See answers on Life Satistfaction,NA,2,NA,NA,Data-Driven,1,R_2UgadrXE2OiyQIB,0,1,,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,4.12333825,4.530968364,4.12333825,8.600643415,8.600643415,3.881526811,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,NA,NA,NA,NA,NA,NA,2.295714286,2.388922138,2.295714286,5.045406651,5.045406651,2.161083086,2.295714286,2.388922138,2.295714286,5.045406651,15.99864892,2.160550521,0,0,Below Naive linear,Below Naive rwf,0,0,Below Naive linear,Below Naive rwf,0,0,32,100,0,0,0,0,NA,NA,NA,0,May,NA
14,2790,R_2UgadrXE2OiyQIB,1,TheMets,polar,78.3,78,78.3,78,78.3,78,78.3,78,78.3,78,78.3,78,NA,NA,NA,NA,NA,NA,3,2,2,5,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,See answers on Life Satisfaction,NA,2,NA,NA,Data-Driven,1,R_2UgadrXE2OiyQIB,0,1,,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,6.558333333,7.32171428,6.608333333,7.60483676,7.668939324,3.220220742,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,NA,NA,NA,NA,NA,NA,5.766666667,6.091250556,5.766666667,6.819175783,6.819175783,2.810079134,5.766666667,6.091250556,5.766666667,6.819175783,6.819175783,2.482461735,0,0,Below Naive linear,Below Naive rwf,0,0,Below Naive linear,Below Naive rwf,0,0,32,100,0,0,0,0,NA,NA,NA,0,May,NA
15,2790,R_2UgadrXE2OiyQIB,1,TheMets,iasian,0.407,0.38,0.407,0.38,0.407,0.38,0.407,0.38,0.407,0.38,0.407,0.38,NA,NA,NA,NA,NA,NA,3,2,2,5,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,See answers on Life Satisfaction,NA,2,NA,NA,Data-Driven,1,R_2UgadrXE2OiyQIB,0,1,,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,-0.045335371,0.047017477,0.045335371,-13.06406954,13.06406954,1.75202169,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,NA,NA,NA,NA,NA,NA,-0.043820131,0.045270361,0.043820131,-12.55734676,12.55734676,1.693464018,-0.043820131,0.045270361,0.043820131,-12.55734676,12.55734676,1.819774173,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,32,100,0,0,0,0,NA,NA,NA,0,May,NA
16,2790,R_2UgadrXE2OiyQIB,1,TheMets,easian,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,NA,NA,NA,NA,NA,NA,3,2,2,5,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,See answers on Life Satisfaction,NA,2,NA,NA,Data-Driven,1,R_2UgadrXE2OiyQIB,0,1,,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,-0.143092297,0.146469674,0.143092297,77.95176214,77.95176214,2.378323772,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,NA,NA,NA,NA,NA,NA,-0.137485208,0.141009068,0.137485208,77.20846698,77.20846698,2.285128869,-0.137485208,0.141009068,0.137485208,77.20846698,77.20846698,2.323985247,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,32,100,0,0,0,0,NA,NA,NA,0,May,NA
17,2790,R_2UgadrXE2OiyQIB,1,TheMets,iafric,0.33,0.304,0.33,0.304,0.33,0.304,0.33,0.304,0.33,0.304,0.33,0.304,NA,NA,NA,NA,NA,NA,3,2,2,5,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,See answers on Life Satisfaction,NA,2,NA,NA,Data-Driven,1,R_2UgadrXE2OiyQIB,0,1,,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,-0.039942761,0.042463282,0.039942761,-14.49015521,14.49015521,5.358581337,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,NA,NA,NA,NA,NA,NA,-0.036360826,0.038861137,0.036360826,-12.97166453,12.97166453,4.87804149,-0.036360826,0.038861137,0.036360826,-12.97166453,12.97166453,4.315540478,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,32,100,0,0,0,0,NA,NA,NA,0,May,NA
18,2790,R_2UgadrXE2OiyQIB,1,TheMets,eafric,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,NA,NA,NA,NA,NA,NA,3,2,2,5,See answers on Life Satisfaction,See answer for Life Satisfaction,See answers for Life Satisfaction,See answers for Life Satisfaction ,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,See answers for Life Satisfaction,NA,2,NA,NA,Data-Driven,1,R_2UgadrXE2OiyQIB,0,1,,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,-0.161387326,0.162145315,0.161387326,79.81451342,79.81451342,5.377883304,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,NA,NA,NA,NA,NA,NA,-0.159675937,0.160307377,0.159675937,79.66083633,79.66083633,5.32085497,-0.159675937,0.160307377,0.159675937,79.66083633,79.66083633,5.299915805,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,32,100,0,0,0,0,NA,NA,NA,0,May,NA
19,2790,R_2UgadrXE2OiyQIB,1,TheMets,igend,0.381,0.359,0.381,0.359,0.381,0.359,0.381,0.359,0.381,0.359,0.381,0.359,NA,NA,NA,NA,NA,NA,3,2,2,5,See answers for Life Satisfaction,See answers for Life Satisfaction,See answers for Life Satisfaction,See answers for Life Satisfaction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,See answers for Life Satisfaction,NA,2,NA,NA,Data-Driven,1,R_2UgadrXE2OiyQIB,0,1,,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,-0.019354787,0.022857201,0.019354787,-5.545331849,5.545331849,1.738221744,0,0,Below Naive linear,Below Naive rwf,0,0,Below Naive linear,Below Naive rwf,NA,NA,NA,NA,NA,NA,NA,-0.020218676,0.024303724,0.020218676,-5.825145627,5.825145627,1.815806216,-0.020218676,0.024303724,0.020218676,-5.825145627,5.825145627,1.855427068,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,32,100,0,0,0,0,NA,NA,NA,0,May,NA
20,2790,R_2UgadrXE2OiyQIB,1,TheMets,egend,0.872,0.811,0.872,0.811,0.872,0.811,0.872,0.811,0.872,0.811,0.872,0.811,NA,NA,NA,NA,NA,NA,3,2,2,5,See answers for Life Satisfaction,See answers for Life Satisfaction,See answers for Life Satisfaction,See answers for Life Satisfaction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,See answers for Life Satisfaction,NA,2,NA,NA,Data-Driven,1,R_2UgadrXE2OiyQIB,0,1,,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,-0.052345203,0.065271202,0.054336855,-6.769419753,7.01143353,1.293216521,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,NA,NA,NA,NA,NA,NA,-0.075307235,0.081240434,0.075307235,-9.876750416,9.876750416,1.792311308,-0.075307235,0.081240434,0.075307235,-9.876750416,9.876750416,1.940613448,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,32,100,0,0,0,0,NA,NA,NA,0,May,NA
