"","team_name","Domains","Tournament","Rank","Nteams","May2020","June2020","July2020","August2020","Sept2020","Oct2020","Nov2020","Dec2020","Jan2021","Feb2021","March2021","April2021","MAE","MASE"
"17","Compassionate Values","Explicit African American Bias","May - 12-months",5,22,-0.091,-0.094,-0.097,-0.1,-0.103,-0.106,-0.109,-0.112,-0.115,-0.118,-0.121,-0.124,0.0943873263333333,3.1452533353392
"18","BlackSwan","Explicit African American Bias","May - 12-months",6,22,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,0.101887326333333,3.39517460052831
"19","Bluebirds","Explicit African American Bias","May - 12-months",7,22,-0.0823284,-0.0856078,-0.0881803,-0.0904201,-0.0925032,-0.0945125,-0.0964872,-0.0984455,-0.100396,-0.102343,-0.104288,-0.106202,0.106744493,3.55702916567067
"20","A Woman Scientist","Explicit African American Bias","May - 12-months",8,22,-0.07,-0.08,-0.09,-0.1,-0.08,-0.07,-0.08,-0.07,-0.1,-0.11,-0.08,-0.08,0.117720659666667,3.92278616037198
"21","WQXZ","Explicit African American Bias","May - 12-months",9,22,-0.073063,-0.074518,-0.075166,-0.075814,-0.076461,-0.077109,-0.077757,-0.078404,-0.079052,-0.079699,-0.080347,-0.080994,0.124521993,4.14942587125725
"22","MLTS","Explicit African American Bias","May - 12-months",10,22,-0.070721664,-0.071255165,-0.071788666,-0.072322167,-0.072855668,-0.073389169,-0.07392267,-0.074456171,-0.074989672,-0.075523173,-0.076056674,-0.076590175,0.128231406833333,4.27303405770214
"23","Heisenburg","Explicit African American Bias","May - 12-months",11,22,-0.047,-0.015,-0.05,-0.091,-0.107,-0.085,-0.097,-0.076,-0.061,-0.061,-0.09,-0.085,0.129803993,4.3254370876211
"24","Bordeaux","Explicit African American Bias","May - 12-months",12,22,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,0.131887326333333,4.39485966128474
"25","BRTWN","Explicit African American Bias","May - 12-months",13,22,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,0.132311126333333,4.4089818789097
"26","Imielin","Explicit African American Bias","May - 12-months",14,22,-0.07,-0.07,-0.06,-0.05,-0.06,-0.05,-0.07,-0.05,-0.06,-0.05,-0.04,-0.03,0.146887326333333,4.89470219166296
"27","Team29","Explicit African American Bias","May - 12-months",15,22,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.151887326333333,5.0613163684557
"28","AbCdEfG","Explicit African American Bias","May - 12-months",16,22,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.04,-0.04,-0.04,-0.04,-0.04,0.156053993,5.20016151578298
"29","Cynical Belief in the Inexorable Crush of the Wheel","Explicit African American Bias","May - 12-months",17,22,-0.0695762,-0.0695762,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,0.161229102166667,5.37261082650633
"30","TheMets","Explicit African American Bias","May - 12-months",18,22,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,0.161387326333333,5.3778833043619
"31","FMTeam","Explicit African American Bias","May - 12-months",19,22,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,0.167012326333333,5.56532425325374
"32","Average Joes","Explicit African American Bias","May - 12-months",20,22,-0.03487462924793,-0.03487462924793,-0.03487462924793,-0.03487462924793,-0.03487462924793,-0.03487462924793,-0.03487462924793,-0.03487462924793,-0.03487462924793,-0.03487462924793,-0.03487462924793,-0.03487462924793,0.167012697085403,5.56533660776392
"33","ForeverJung90","Explicit African American Bias","May - 12-months",21,22,-0.06,0.03,0.03,0.03,0.03,0.05,0.04,0.04,0,-0.05,-0.05,-0.05,0.205220659666667,6.83853425424492
"34","TeamKL","Explicit African American Bias","May - 12-months",22,22,0.09,0.09,0.08,0.08,0.09,0.09,0.07,0.08,0.09,0.05,0.1,0.09,0.285220659666667,9.50436108292875
"35","The Well-Adjusted R Squares","Explicit Asian American Bias","May - 12-months",1,26,-0.1017757,-0.1046566,-0.1075375,-0.1104184,-0.1132993,-0.1161802,-0.1190611,-0.121942,-0.1248229,-0.1277038,-0.1305847,-0.1334656,0.06447164725,1.07157725635532
"36","LongerSquigglyLines","Explicit Asian American Bias","May - 12-months",2,26,-0.10991,0.049419,-0.077526,-0.14619,-0.036236,0.028226,-0.103182,0.004246,-0.08988,-0.02212,0.026554,-0.144069,0.130369963916667,2.1668670524773
"37","Heisenburg","Explicit Asian American Bias","May - 12-months",3,26,-0.119958665940807,-0.0326991716039994,-0.0523209837256965,-0.0602728237630617,-0.0934130444494562,-0.0466305255824124,-0.00691947487060939,-0.0653908847928639,-0.00985283048781915,-0.0510512688101425,-0.0148819734194378,-0.02275848111224,0.134079786536788,2.22852766942135
"38","Bluebirds","Explicit Asian American Bias","May - 12-months",4,26,-0.0427656,0.00116419,-0.054445,-0.0823426,-0.122498,-0.0331561,-0.0395179,-0.0390649,-0.0390971,-0.0390948,-0.039095,-0.039095,0.13467497975,2.23842032049543
"39","Average Joes","Explicit Asian American Bias","May - 12-months",5,26,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0.14209229725,2.36170286522933
"40","BRTWN","Explicit Asian American Bias","May - 12-months",6,26,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0.14209229725,2.36170286522933
"41","TheMets","Explicit Asian American Bias","May - 12-months",7,26,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,0.14309229725,2.37832377228014
"42","AbCdEfG","Explicit Asian American Bias","May - 12-months",8,26,-0.03579,-0.0366,-0.03664,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,0.145518963916667,2.41865717339013
"43","Bordeaux","Explicit Asian American Bias","May - 12-months",9,26,-0.03,-0.037,-0.037,-0.037,-0.037,-0.03,-0.037,-0.03,-0.037,-0.03,-0.03,-0.037,0.148008963916667,2.46004323194666
"44","MLTS","Explicit Asian American Bias","May - 12-months",10,26,-0.0326238243270671,-0.0325075843809807,-0.0323913444348943,-0.032275104488808,-0.0321588645427216,-0.0320426245966352,-0.0319263846505489,-0.0318101447044625,-0.0316939047583761,-0.0315776648122897,-0.0314614248662034,-0.031345184920117,0.150107792626408,2.49492766884686
"45","Cynical Belief in the Inexorable Crush of the Wheel","Explicit Asian American Bias","May - 12-months",11,26,-0.037148,-0.037148,-0.037148,-0.037148,-0.037148,0.02,0.02,-0.037148,-0.037148,-0.037148,-0.037148,-0.037148,0.154468963916667,2.56741429149494
"46","WQXZ","Explicit Asian American Bias","May - 12-months",12,26,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,0.16233329725,2.69812664484492
"47","fearfulastra","Explicit Asian American Bias","May - 12-months",13,26,-0.004,-0.056,-0.042,-0.047,-0.025,0.004,0.005,0.005,0.006,0.007,0.007,0.008,0.17109229725,2.84370916970302
"48","Team29","Explicit Asian American Bias","May - 12-months",14,26,0,0,0,0,0,0,0,0,0,0,0,0,0.18209229725,3.02653914726201
"49","BlackSwan","Explicit Asian American Bias","May - 12-months",15,26,0.1,0.1,0.1,0.05,0.05,0,0.01,-0.05,0.02,-0.05,0.02,-0.02,0.20959229725,3.48361409115948
"50","A Woman Scientist","Explicit Asian American Bias","May - 12-months",16,26,0.1,-0.05,0.11,0.08,-0.02,0.06,0,0.05,0.01,0.07,0.03,0.1,0.22709229725,3.77447996454878
"51","Erebuni","Explicit Asian American Bias","May - 12-months",17,26,0.11,0.12,0.08,0.05,0.04,0.04,0.03,0.04,0.05,0.06,0.07,0.07,0.245425630583333,4.07919659381376
"52","Tosbik","Explicit Asian American Bias","May - 12-months",18,26,0.13,0.14,0.14,0.12,0.13,0.11,0.1,0.09,0.06,0.03,0.01,0.01,0.271258963916667,4.50857002595987
"53","md2000","Explicit Asian American Bias","May - 12-months",19,26,0.1,0.1,0.1,0.15,0.15,0.15,0.15,0.1,0.1,0.1,0.05,0.05,0.290425630583333,4.82713741110053
"54","CheeseCake","Explicit Asian American Bias","May - 12-months",20,26,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.11,0.1,0.291258963916667,4.84098816697621
"55","polarization-2020CO","Explicit Asian American Bias","May - 12-months",21,26,0.18,0.18,0.16,0.17,0.13,0.1,0.11,0.09,0.07,0.08,0.07,0.07,0.29959229725,4.97949572573302
"56","Imielin","Explicit Asian American Bias","May - 12-months",22,26,0.14,0.13,0.14,0.13,0.13,0.14,0.15,0.14,0.13,0.14,0.14,0.13,0.318758963916667,5.29806311087368
"57","Broken Mirror Neurons","Explicit Asian American Bias","May - 12-months",23,26,0.25,0.26,0.24,0.2,0.14,0.21,0.2,0.16,0.15,0.06,0.04,0.05,0.345425630583333,5.74128729889547
"58","NYHC","Explicit Asian American Bias","May - 12-months",24,26,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.34709229725,5.76898881064684
"59","Mr Muddle","Explicit Asian American Bias","May - 12-months",25,26,0.2,0.25,0.28,0.29,0.25,0.3,0.32,0.25,0.22,0.2,0.18,0.15,0.422925630583333,7.0294075953338
"60","Turing Tesla Solutions","Explicit Asian American Bias","May - 12-months",26,26,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.45709229725,7.59728858623672
"61","fearfulastra","Explicit Gender-Career Bias","May - 12-months",1,21,0.806,0.8,0.805,0.778,0.79,0.774,0.771,0.769,0.766,0.763,0.761,0.758,0.0219906194166667,0.523376483786086
"62","WQXZ","Explicit Gender-Career Bias","May - 12-months",2,21,0.79581,0.80758,0.80668,0.79285,0.78901,0.7767,0.75991,0.75117,0.76109,0.77063,0.78902,0.78173,0.0221680675833334,0.527599748068215
"63","BRTWN","Explicit Gender-Career Bias","May - 12-months",3,21,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.7912628,0.0232135769166667,0.552482857919628
"64","Team29","Explicit Gender-Career Bias","May - 12-months",4,21,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0252732839166667,0.601503860323615
"65","MLTS","Explicit Gender-Career Bias","May - 12-months",5,21,0.78277372492444,0.781474352415191,0.780174979905943,0.778875607396695,0.777576234887447,0.776276862378199,0.774977489868951,0.773678117359703,0.772378744850455,0.771079372341206,0.769779999831958,0.76848062732271,0.0267758875485697,0.637265809111359
"66","Bordeaux","Explicit Gender-Career Bias","May - 12-months",6,21,0.787,0.786,0.784,0.776,0.783,0.774,0.771,0.77,0.769,0.767,0.783,0.766,0.02698014875,0.642127223305881
"67","Bluebirds","Explicit Gender-Career Bias","May - 12-months",7,21,0.784076,0.781587,0.779097,0.776608,0.774119,0.77163,0.769141,0.766651,0.764162,0.761673,0.759184,0.757014,0.0274863154166667,0.654173984026452
"68","The Well-Adjusted R Squares","Explicit Gender-Career Bias","May - 12-months",8,21,0.7823498,0.77975,0.7771502,0.7745504,0.7719505,0.7693507,0.7667509,0.7641511,0.7615513,0.7589514,0.7563516,0.7537518,0.02850502375,0.678419230392705
"69","Heisenburg","Explicit Gender-Career Bias","May - 12-months",9,21,0.792200084803833,0.854537673380611,0.851939563313858,0.812894591753076,0.772647057256939,0.814872809853062,0.792475745560415,0.762395095466423,0.685754666188803,0.740007488915903,0.756890284332696,0.827680076459365,0.0332317723399758,0.790915791307558
"70","ForeverJung90","Explicit Gender-Career Bias","May - 12-months",10,21,0.81,0.81,0.81,0.85,0.85,0.85,0.81,0.81,0.8,0.82,0.82,0.82,0.0395528299166667,0.94135688737739
"71","A Woman Scientist","Explicit Gender-Career Bias","May - 12-months",11,21,0.8,0.76,0.82,0.78,0.81,0.76,0.84,0.79,0.81,0.79,0.84,0.87,0.0456578789166667,1.0866569818595
"72","AbCdEfG","Explicit Gender-Career Bias","May - 12-months",12,21,0.8242,0.8287,0.8308,0.8319,0.8324,0.8326,0.8327,0.8328,0.8328,0.8328,0.8328,0.8328,0.04696116325,1.11767513368275
"73","LongerSquigglyLines","Explicit Gender-Career Bias","May - 12-months",13,21,0.783649,0.728947,0.878209,0.861672,0.763955,0.739627,0.66998,0.790109,0.787122,0.737026,0.768285,0.798529,0.05030313725,1.19721407562355
"74","Average Joes","Explicit Gender-Career Bias","May - 12-months",14,21,0.836946064625193,0.836946064625193,0.836946064625193,0.836946064625193,0.836946064625193,0.836946064625193,0.836946064625193,0.836946064625193,0.836946064625193,0.836946064625193,0.836946064625193,0.836946064625193,0.0503412171043276,1.19812037570921
"75","TheMets","Explicit Gender-Career Bias","May - 12-months",15,21,0.872,0.811,0.872,0.811,0.872,0.811,0.872,0.811,0.872,0.811,0.872,0.811,0.0543368554166667,1.29321652060489
"76","TeamKL","Explicit Gender-Career Bias","May - 12-months",16,21,0.85,0.83,0.87,0.88,0.85,0.84,0.88,0.87,0.82,0.81,0.85,0.85,0.0612194965833333,1.45702329951905
"77","BlackSwan","Explicit Gender-Career Bias","May - 12-months",17,21,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.0701174534166667,1.66879456762534
"78","Haifa_Team","Explicit Gender-Career Bias","May - 12-months",18,21,0.85,0.9,0.87,0.92,0.79,0.82,0.85,0.9,0.79,0.85,0.93,0.96,0.0831091055833334,1.97799573657507
"79","Imielin","Explicit Gender-Career Bias","May - 12-months",19,21,0.9,0.89,0.91,0.91,0.9,0.89,0.89,0.88,0.88,0.89,0.88,0.88,0.102511869916667,2.43978129977815
"80","Sociology","Explicit Gender-Career Bias","May - 12-months",20,21,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.11084520325,2.63811453521725
"81","1859","Explicit Gender-Career Bias","May - 12-months",21,21,1.04447588937288,1.09970621932961,1.11975256647848,0.988002172321813,0.749377593828932,0.786940900140351,0.735167351886937,0.875315332592794,0.792546714980203,0.729221431665567,0.828196749975946,0.80113527129313,0.113824543485256,2.70902279781711
"82","fearfulastra","Implicit African American Bias","May - 12-months",1,25,0.315,0.319,0.313,0.301,0.311,0.311,0.311,0.311,0.31,0.31,0.31,0.31,0.033942761,4.55364228882272
"83","ForecastSnorecast","Implicit African American Bias","May - 12-months",2,25,0.315,0.31,0.305,0.3,0.31,0.3,0.305,0.31,0.32,0.33,0.32,0.31,0.034192761,4.58718141583144
"84","The Well-Adjusted R Squares","Implicit African American Bias","May - 12-months",3,25,0.3134715,0.313218,0.3129645,0.312711,0.3124575,0.3122039,0.3119504,0.3116969,0.3114434,0.3111898,0.3109363,0.3106828,0.0350199276666667,4.69815120739429
"85","Tosbik","Implicit African American Bias","May - 12-months",4,25,0.33,0.32,0.31,0.33,0.32,0.32,0.31,0.3,0.32,0.31,0.3,0.31,0.037942761,5.09026832096226
"86","WQXZ","Implicit African American Bias","May - 12-months",5,25,0.31716,0.31702,0.31695,0.31689,0.31683,0.31676,0.3167,0.31663,0.31657,0.31651,0.31644,0.31638,0.0396794276666667,5.32325345658285
"87","TheMets","Implicit African American Bias","May - 12-months",6,25,0.33,0.304,0.33,0.304,0.33,0.304,0.33,0.304,0.33,0.304,0.33,0.304,0.039942761,5.35858133703203
"88","Heather Shimmer","Implicit African American Bias","May - 12-months",7,25,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.039942761,5.35858133703203
"89","MLTS","Implicit African American Bias","May - 12-months",8,25,0.317386265127841,0.317344011211613,0.317301757295385,0.317259503379157,0.317217249462929,0.317174995546701,0.317132741630473,0.317090487714245,0.317048233798017,0.317005979881789,0.316963725965561,0.316921472049333,0.040096629588587,5.37922380957312
"90","Cynical Belief in the Inexorable Crush of the Wheel","Implicit African American Bias","May - 12-months",9,25,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.040492861,5.43238083210202
"91","BRTWN","Implicit African American Bias","May - 12-months",10,25,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.3175501,0.040492861,5.43238083210202
"92","MORDEAUX Team","Implicit African American Bias","May - 12-months",11,25,0.3151,0.3146,0.3264,0.3204,0.3233,0.3247,0.3136,0.3159,0.3139,0.3114,0.3148,0.3197,0.0407594276666667,5.46814248526052
"93","AbCdEfG","Implicit African American Bias","May - 12-months",12,25,0.3166,0.3178,0.3176,0.3177,0.3179,0.318,0.318,0.318,0.3181,0.3181,0.3181,0.3181,0.0407760943333333,5.4703784270611
"94","Heisenburg","Implicit African American Bias","May - 12-months",13,25,0.324263836884721,0.320148180679943,0.324158880180394,0.31806815198362,0.30665846534932,0.316859224220209,0.31717233601086,0.316648201522382,0.318990458546599,0.318005157527887,0.314800286077752,0.319540675360817,0.0408855821953753,5.48506693630486
"95","Bordeaux","Implicit African American Bias","May - 12-months",14,25,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.040942761,5.49273784506692
"96","Bluebirds","Implicit African American Bias","May - 12-months",15,25,0.318746,0.318609,0.318563,0.318547,0.318542,0.31854,0.318539,0.318539,0.318539,0.318539,0.318539,0.318539,0.0415078443333333,5.56854745181563
"97","Average Joes","Implicit African American Bias","May - 12-months",16,25,0.318795540191224,0.318795540191224,0.318795540191224,0.318795540191224,0.318795540191224,0.318795540191224,0.318795540191224,0.318795540191224,0.318795540191224,0.318795540191224,0.318795540191224,0.318795540191224,0.041738301191224,5.59946473912294
"98","FMTeam","Implicit African American Bias","May - 12-months",17,25,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.041738761,5.59952642546269
"99","BlackSwan","Implicit African American Bias","May - 12-months",18,25,0.33,0.31,0.33,0.31,0.33,0.31,0.33,0.31,0.33,0.31,0.33,0.31,0.042942761,5.76105086113669
"100","Team29","Implicit African American Bias","May - 12-months",19,25,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.042942761,5.76105086113669
"101","LongerSquigglyLines","Implicit African American Bias","May - 12-months",20,25,0.332312,0.322258,0.320062,0.294682,0.320668,0.330294,0.321792,0.318394,0.319167,0.311965,0.323192,0.327273,0.0431143443333333,5.78406988197368
"102","Imielin","Implicit African American Bias","May - 12-months",21,25,0.34,0.33,0.33,0.32,0.32,0.33,0.32,0.31,0.31,0.32,0.31,0.31,0.0437760943333333,5.87284795116576
"103","HSCNAC","Implicit African American Bias","May - 12-months",22,25,0.32,0.35,0.34,0.32,0.32,0.32,0.33,0.32,0.32,0.32,0.32,0.31,0.0471094276666667,6.32003631128205
"104","TeamKL","Implicit African American Bias","May - 12-months",23,25,0.33,0.34,0.33,0.32,0.34,0.34,0.32,0.31,0.31,0.32,0.33,0.34,0.050442761,6.76722467139834
"105","A Woman Scientist","Implicit African American Bias","May - 12-months",24,25,0.33,0.32,0.32,0.33,0.33,0.34,0.33,0.33,0.31,0.33,0.34,0.34,0.0521094276666667,6.99081885145648
"106","Old Chickens","Implicit African American Bias","May - 12-months",25,25,0.373355436701276,0.384722647123198,0.382255258638391,0.366478950716805,0.341627945084523,0.315439308367877,0.293492554596666,0.282897204114946,0.285910606448126,0.302253592547854,0.3247489831692,0.351835967576206,0.0566942989237557,7.60590916909706
"107","NotGreatWithNamesTeam","Implicit Asian American Bias","May - 12-months",1,30,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.02936862925,1.13497418455577
"108","LongerSquigglyLines","Implicit Asian American Bias","May - 12-months",2,30,0.372507,0.334525,0.386056,0.364222,0.393331,0.398675,0.378888,0.334726,0.339738,0.391988,0.387662,0.363785,0.02944562225,1.13794964066738
"109","WQXZ","Implicit Asian American Bias","May - 12-months",3,30,0.38333,0.38333,0.38333,0.38333,0.38333,0.38333,0.38333,0.38333,0.38333,0.38333,0.38333,0.38333,0.03516537075,1.35899389964149
"110","Heather Shimmer","Implicit Asian American Bias","May - 12-months",4,30,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.03583537075,1.38488658592178
"111","FMTeam","Implicit Asian American Bias","May - 12-months",5,30,0.386282,0.386282,0.386282,0.386282,0.386282,0.386282,0.386282,0.386282,0.386282,0.386282,0.386282,0.386282,0.03811737075,1.47307630247644
"112","Dutch East India Company","Implicit Asian American Bias","May - 12-months",6,30,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.03811743375,1.47307873716187
"113","Average Joes","Implicit Asian American Bias","May - 12-months",7,30,0.386282063014672,0.386282063014672,0.386282063014672,0.386282063014672,0.386282063014672,0.386282063014672,0.386282063014672,0.386282063014672,0.386282063014672,0.386282063014672,0.386282063014672,0.386282063014672,0.038117433764672,1.47307873772888
"114","BRTWN","Implicit Asian American Bias","May - 12-months",8,30,0.3862821,0.3862821,0.3862821,0.3862821,0.3862821,0.3862821,0.3862821,0.3862821,0.3862821,0.3862821,0.3862821,0.3862821,0.03811747075,1.47308016705648
"115","Bordeaux","Implicit Asian American Bias","May - 12-months",9,30,0.386,0.386,0.386,0.386,0.387,0.387,0.386,0.386,0.386,0.387,0.387,0.386,0.0381687040833333,1.47506012023125
"116","Heisenburg","Implicit Asian American Bias","May - 12-months",10,30,0.383885581824702,0.387366270361707,0.392929882261358,0.381804989469566,0.374938464833186,0.406350078011583,0.395405333970574,0.364075597963942,0.365747359247622,0.401363095694836,0.399738615071612,0.382545292369007,0.0382962917987043,1.4799908496153
"117","MLTS","Implicit Asian American Bias","May - 12-months",11,30,0.386998726274759,0.387017157939266,0.387035589603774,0.387054021268281,0.387072452932789,0.387090884597296,0.387109316261804,0.387127747926311,0.387146179590818,0.387164611255326,0.387183042919833,0.387201474584341,0.0389354711795498,1.50469244839898
"118","BlackSwan","Implicit Asian American Bias","May - 12-months",12,30,0.39,0.41,0.36,0.39,0.41,0.36,0.39,0.41,0.36,0.39,0.41,0.36,0.0395749715833333,1.52940645337105
"119","AbCdEfG","Implicit Asian American Bias","May - 12-months",13,30,0.3892,0.3882,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.0399520374166667,1.54397846431062
"120","fearfulastra","Implicit Asian American Bias","May - 12-months",14,30,0.3855488541,0.3892742604,0.3855103883,0.376900089,0.4069819873,0.4006102652,0.3692928169,0.3660438601,0.3926900134,0.4089203584,0.395477622,0.3843415373,0.0403013751166667,1.55747889934343
"121","Bluebirds","Implicit Asian American Bias","May - 12-months",15,30,0.383,0.379,0.412,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.0406687040833333,1.5716746212771
"122","The Well-Adjusted R Squares","Implicit Asian American Bias","May - 12-months",16,30,0.3886045,0.388715,0.3888256,0.3889362,0.3890468,0.3891574,0.389268,0.3893786,0.3894892,0.3895998,0.3897104,0.3898209,0.04104807075,1.58633554976247
"123","Cynical Belief in the Inexorable Crush of the Wheel","Implicit Asian American Bias","May - 12-months",17,30,0.386282,0.386282,0.386282,0.386282,0.386282,0.406,0.406,0.386282,0.386282,0.386282,0.386282,0.386282,0.0414037040833333,1.60007928458458
"124","MORDEAUX Team","Implicit Asian American Bias","May - 12-months",18,30,0.37,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.4,0.37,0.37,0.39,0.0426687040833333,1.64896622211379
