,X,ResponseId,phase,team_name,domain,counterfact,othercounter,Participant.s.Previous.Response,Presence.of.Counterfactual.OT,Presence.of.Counterfactual.HK,Agreement_Presence_1,Presence.of.Counterfactual.1.OT,Presence.of.Counterfactual..1.HK,Agreement_Presence_2,CounterFactual_Presence_Final,counterNum,COVID.19.OT,COVID.19.HK,Agreement_COVID_1,COVID.19..2.OT,COVID.19.2.HK,Agreement_COVID_2,COVID.Final,Onus.OT,Onus.HK,Onus_Agreement_1,Onus.2.OT,Onus.2.HK,Onus_Agreement_2,Onus.Final,Flagged.OT,Flagged.HK,Comments.OT,Comments.HK
28,28,R_3lzeKBOZqIExUsr,1,polarization-2020CO,lifesat,"I think if the pandemic had not been occurred, we wouldn't see a sudden drop in life satisfaction between March- May 2020. ,",NA,NA,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
29,29,R_3lzeKBOZqIExUsr,1,polarization-2020CO,polar,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
30,30,R_3lzeKBOZqIExUsr,1,polarization-2020CO,iasian,"I think if the pandemic had not been occurred, we would continue to see the previous patterns.",NA,NA,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
31,31,R_3lzeKBOZqIExUsr,1,polarization-2020CO,easian,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
32,32,R_DAEDt5Ai3qF481z,1,Seaside,lifesat,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
33,33,R_1MSUHSwe1zPiuOQ,1,CarrNCUSA,lifesat,Waiting until mid-March to suspend travel,NA,NA,1,1,0,1,1,0,1,1,2,2,0,2,2,0,2,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
34,34,R_1MSUHSwe1zPiuOQ,1,CarrNCUSA,ideolrep,Tara Reade accusing Joe Biden of sexual assault.,NA,NA,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
35,35,R_1MSUHSwe1zPiuOQ,1,CarrNCUSA,ideoldem,Tara Reade accusing Joe Biden of sexual assault.,NA,NA,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
36,36,R_2WB8J6PdmAAQGbM,1,Little Bear,polar,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
37,37,R_2RWFd9H3z37Yqmb,1,Foxtrot,polar,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
38,38,R_3nJlV17e4so1J8U,1,Old Chickens,lifesat,"Had China fully contained COVID-19 and it not spread around the world, I would not have forecasted a dip.",NA,NA,1,1,0,1,1,0,1,1,2,2,0,2,2,0,2,1,1,0,NA,NA,NA,1,NA,NA,NA,NA
39,39,R_3nJlV17e4so1J8U,1,Old Chickens,ideolrep,none,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
40,40,R_3nJlV17e4so1J8U,1,Old Chickens,ideoldem,none,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
41,41,R_3nJlV17e4so1J8U,1,Old Chickens,polar,none,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
42,42,R_3nJlV17e4so1J8U,1,Old Chickens,iafric,none,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
43,43,R_2bWyfocCOaKkcNN,1,Abracadabra,lifesat,"Counterfactual: Evidence that an existing vaccine or medication offers protection against COVID-19.





If COVID-19 were found to be readily treatable, then this pandemic would not be a problem.","If it had been found that ordinary face masks were highly effective against COVID-19 then, again, this pandemic would not be a problem.",NA,1,1,0,1,1,0,1,2,1,2,1,2,2,0,2,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
44,44,R_1feG7nZChYPoRsc,1,Spartacus,lifesat,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
45,45,R_12L9npXg1YbCpY7,1,Heather Shimmer,iasian,If the data provided were different then our forecasts would have been different.,NA,NA,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,NA,"Although technically a counterfactual, not very useful for our purposes",NA
46,46,R_12L9npXg1YbCpY7,1,Heather Shimmer,iafric,The forecast would have been different if the data provided were different.,NA,NA,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,NA,"Although technically a counterfactual, not very useful for our purposes",NA
47,47,R_12L9npXg1YbCpY7,1,Heather Shimmer,igend,The forecast would have been different if the data provided were different.,NA,NA,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,NA,"Although technically a counterfactual, not very useful for our purposes",NA
48,48,R_37QXf00ixlpprj3,1,BlackSwan,lifesat,"If social distancing practices would have been implemented earlier, the crisis would have developed perhaps more like in Germany. With less strict social distancing measures and fewer deaths. I do not think the difference would have been extremely large however.",NA,NA,1,1,0,1,1,0,1,1,2,2,0,2,2,0,2,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
49,49,R_37QXf00ixlpprj3,1,BlackSwan,polar,I think political polarization will be quite independent of the current crisis. Therefore a counterfactual event would not have a strong impact on my forecasts.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
50,50,R_37QXf00ixlpprj3,1,BlackSwan,iasian,Even if the tension between the U.S. and China would have increased I do not think it would have substantially increased the bias. At least I cannot identity a clear pattern in the past data that this was the case. Maybe when the tensions about trade increased.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
51,51,R_37QXf00ixlpprj3,1,BlackSwan,easian,"If new evidence had occured that the virus originated in a non-Asian country, there would not have been an uptick in explicit Asian-American Bias.",NA,NA,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
52,52,R_37QXf00ixlpprj3,1,BlackSwan,iafric,Some race-related riot broke out for reasons not related to the current pandemic,NA,NA,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
53,53,R_37QXf00ixlpprj3,1,BlackSwan,eafric,"I think attitudes toward African Americans are realtively independent of the current crisis. Thus, if the lockdown would have occured earlier, this would not have had a strong impact.",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
54,54,R_37QXf00ixlpprj3,1,BlackSwan,igend,If the lockdown would have occured earlier it would not have affected the implicit career bias.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
55,55,R_37QXf00ixlpprj3,1,BlackSwan,egend,If the lockdown would have occured earlier it would not have an impact on explicit gender-career bias.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
56,56,R_2tOPX9BWjIhaOf7,1,Duckling Power,lifesat,"Implementing a policy to preserve jobs (such as Denmark, UK, etc. have) on or before March 1, 2020. This would have increased economic security greatly as well as increased popular support for social distancing and business shutdowns. Instead we are left with a divided population that will cause the economic closures to be lifted too soon while still having a massive number of unemployed individuals.",NA,NA,1,1,0,1,1,0,1,1,2,0,1,2,2,0,2,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
57,57,R_2tOPX9BWjIhaOf7,1,Duckling Power,posaffect,Coronavirus being contained within the United States in February 2020.,NA,NA,1,1,0,1,1,0,1,1,2,1,1,2,2,0,2,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
58,58,R_2tOPX9BWjIhaOf7,1,Duckling Power,negaffect,Coronavirus being contained within the United States in February 2020.,NA,NA,1,1,0,1,1,0,1,1,2,1,1,2,2,0,2,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
59,59,R_3QP87teUhx0shwJ,1,Patricia Arriaga,lifesat,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
60,60,R_2xRiOHuu4tmQ3k1,1,Average Joes,lifesat,n/a,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
61,61,R_2xRiOHuu4tmQ3k1,1,Average Joes,posaffect,No counterfactual event,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
62,62,R_2xRiOHuu4tmQ3k1,1,Average Joes,negaffect,No counterfactual event,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
63,63,R_2xRiOHuu4tmQ3k1,1,Average Joes,polar,none,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
64,64,R_2xRiOHuu4tmQ3k1,1,Average Joes,iasian,none,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
65,65,R_2xRiOHuu4tmQ3k1,1,Average Joes,easian,none,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
66,66,R_2xRiOHuu4tmQ3k1,1,Average Joes,iafric,none,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
67,67,R_2xRiOHuu4tmQ3k1,1,Average Joes,eafric,none,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
68,68,R_2xRiOHuu4tmQ3k1,1,Average Joes,igend,none,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
69,69,R_2xRiOHuu4tmQ3k1,1,Average Joes,egend,none,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
70,70,R_37QXf00ixlpprj3,1,BlackSwan,posaffect,Please see my answers to the first survey (not revised),NA,"If the shutdown would have occured earlier, I would have predicted the same trajectory for affect just correspondingly earlier.",0,0,1,1,1,0,1,1,2,0,1,2,2,0,2,0,0,0,NA,NA,NA,0,NA,1,NA,more information needed
71,71,R_37QXf00ixlpprj3,1,BlackSwan,negaffect,Please see my answers to the first survey (not revised),NA,"If the shutdown would have occured earlier, I would have predicted the same trajectory for affect just correspondingly earlier.",0,0,1,1,1,0,1,1,2,0,1,2,2,0,2,0,0,0,NA,NA,NA,0,NA,1,NA,more information needed
72,72,R_37QXf00ixlpprj3,1,BlackSwan,ideolrep,Please see my answer to the original part of this survey.,NA,"If the lockdown would have occured earlier, I do not think one party would have benefitted more than the other because the population seemed to be divided on this issue",0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,NA,more information needed
73,73,R_37QXf00ixlpprj3,1,BlackSwan,ideoldem,Please see my answer to the original part of this survey.,NA,"If the lockdown would have occured earlier, I do not think one party would have benefitted more than the other because the population seemed to be divided on this issue",0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,NA,more information needed
74,74,R_cD94fLrgJK1053j,1,blue duiker,polar,"If President Trump had acted more decisively in February 2020 to alert states to the risk of COVID-19 and laid out clearer guidelines for the states (e.g., precautions to take based on population density)",NA,NA,1,1,0,1,1,0,1,1,2,2,0,2,2,0,2,1,1,0,NA,NA,NA,1,NA,NA,NA,NA
75,75,R_5mXcGasI1QWezgl,1,fearfulastra,lifesat,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
76,76,R_5mXcGasI1QWezgl,1,fearfulastra,posaffect,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
77,77,R_5mXcGasI1QWezgl,1,fearfulastra,negaffect,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
78,78,R_5mXcGasI1QWezgl,1,fearfulastra,ideolrep,"An event of similar provenance and import as September 11. Pres. Trump enjoyed a small rally-round-the-flag bump from the pandemic, but he's not been able to leverage it into either policy advantage or cementing a longer-term improvement in his approval ratings.",NA,NA,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
79,79,R_5mXcGasI1QWezgl,1,fearfulastra,ideoldem,"An event of similar provenance and import as September 11. Pres. Trump enjoyed a small rally-round-the-flag bump from the pandemic, but he's not been able to leverage it into either policy advantage or cementing a longer-term improvement in his approval ratings.",NA,NA,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
80,80,R_5mXcGasI1QWezgl,1,fearfulastra,polar,None,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
81,81,R_5mXcGasI1QWezgl,1,fearfulastra,iasian,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
82,82,R_5mXcGasI1QWezgl,1,fearfulastra,easian,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
83,83,R_5mXcGasI1QWezgl,1,fearfulastra,iafric,None,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
84,84,R_5mXcGasI1QWezgl,1,fearfulastra,eafric,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
85,85,R_5mXcGasI1QWezgl,1,fearfulastra,igend,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
86,86,R_5mXcGasI1QWezgl,1,fearfulastra,egend,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
87,87,R_xyX2gsbAcFlJDt7,1,NotGreatWithNamesTeam,lifesat,We did not consider any counterfactuals.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
88,88,R_xyX2gsbAcFlJDt7,1,NotGreatWithNamesTeam,iasian,We did not use any counterfactual.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
89,89,R_1KrKirHTAtmQWfG,1,FMTeam,lifesat,We did not consider counterfactuals.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
90,90,R_1KrKirHTAtmQWfG,1,FMTeam,iasian,No counterfactual.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
91,91,R_1KrKirHTAtmQWfG,1,FMTeam,iafric,No counterfactuals.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
92,92,R_1KrKirHTAtmQWfG,1,FMTeam,eafric,No counterfactuals.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
93,93,R_1KrKirHTAtmQWfG,1,FMTeam,igend,No counterfactuals.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
94,94,R_2wpETv2fShVR2Zx,1,Skuld Forecasting Systems,ideolrep,"'- Successful mpeachement and ocurrence of new elections would substantially alter the model forecast, creating a significant participation shock, with probable subsequent shocks.


- Death and health issues affecting major political figures


",NA,NA,1,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
95,95,R_2wpETv2fShVR2Zx,1,Skuld Forecasting Systems,ideoldem,"'- Successful mpeachement and ocurrence of new elections would substantially alter the model forecast, creating a significant participation shock, with probable subsequent shocks.


- Death and health issues affecting major political figures


",NA,NA,1,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
96,96,R_3sig6taL2uqG5wp,1,RTTMT,lifesat,Finding that people were becoming significantly less happy due to COVID-19 in my survey sample data.,Being exposed to research that suggested that population life satisfaction is easy to predict and due to circumstances more than innate hedonic setpoints,NA,1,0,1,1,1,0,1,2,1,0,1,1,1,0,1,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
97,97,R_3sig6taL2uqG5wp,1,RTTMT,posaffect,Having conducted research in this area,NA,NA,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
98,98,R_3sig6taL2uqG5wp,1,RTTMT,negaffect,Having conducted research in this area,NA,NA,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
99,99,R_3sig6taL2uqG5wp,1,RTTMT,ideolrep,If democratic candidate was significantly more charismatic than Biden this would have changed my forecast as I would have predicted that I had a better than chance probability of predicting a change from the prior data and probably would have predicted maybe a ~5% increase in democratic support within the next year and 2% decrease in republican support.,NA,NA,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
100,100,R_3sig6taL2uqG5wp,1,RTTMT,ideoldem,If democratic candidate was significantly more charismatic than Biden this would have changed my forecast as I would have predicted that I had a better than chance probability of predicting a change from the prior data and probably would have predicted maybe a ~5% increase in democratic support within the next year and 2% decrease in republican support.,NA,NA,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
101,101,R_ZDzzja7ctGRI0Df,1,King Octopus,lifesat,"In this trend prediction, I do not think that people have just one hypothesis (e.g., increasing or decreasing trend). Me too. My prediction was based on multiple hypotheses. 


1. The increasing trend will remain the same in the begining of COVID-19. 


   (counter hypotheiss) the increasing trend will be reverted to the decreasing or plateau trend. 


2. In the middle stage, there will be a sudden drop


    (CH) in the middle stage, the trend will remain the same


3. In the later stage, there will be an increasing trend (as it has been so far). 


     (CH) in the later stage, there will be a decreasing or plateau trend.","I already described before. 


1. Vaccine news


2. people's hope that it will end soon",NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
102,102,R_2tM97nv8vKVkiWV,1,Broken Mirror Neurons,lifesat,Social distancing sooner may have lessened the number of layoffs that are currently happening.,Financial compensation for individuals and small businesses in February as well as in March.,NA,1,1,0,1,1,0,1,2,2,2,0,2,2,0,2,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
103,103,R_2tM97nv8vKVkiWV,1,Broken Mirror Neurons,polar,"Earlier and more aggressive federal response to COVID-19 (one month prior, and public health policies enacted immediately. A more aggressive federal response to the public health crisis may have lowered the intensity of vocal opposition to plans and policies enacted in the early months (e.g. March) of the pandemic.",NA,NA,1,1,0,1,1,0,1,1,2,2,0,2,2,0,2,0,1,1,NA,NA,NA,1,NA,NA,NA,NA
