,ResponseId,ResponseId.old,team_name,domain,basis,basis_5_TEXT,model,theory,parameters,OM_Data_Received,VK_Data_Received,DR_Agreement,dataReceived_Final,OM_Theoretical Insights,VK_Theoretical Insights,TI_Agreement,theoreticalInsight_Final,OM_External Events,VK_External Events,EE_Agreement,externalEvent_Final,OM_comments
20,R_1gcjcwcFt7dVhqG,R_1gcjcwcFt7dVhqG,BlackSwan,iasian,"1,2,4",NA,"Research on implicit attitudes suggests that These attitudes are difficult to change. Therefore, I do not expect any rapid or substantial changens",Research on implicit attitudes suggests that implicit attitudes are difficult to change.,-,0,0,0,0,0,0,0,0,0,0,0,0,
21,R_1gcjcwcFt7dVhqG,R_1gcjcwcFt7dVhqG,BlackSwan,easian,"1,4",NA,I compared my old estimates to the actual data during the past 6 and updated my estimates on the Basis of that data. I used this approach for every variable.,I have been following the political development in the U.S. and it seems to me that explicitly expressing any biases toward any social group (say other that White men) is not socially acceptable.,-,1,1,0,1,0,0,0,0,1,1,0,1,
22,R_1gcjcwcFt7dVhqG,R_1gcjcwcFt7dVhqG,BlackSwan,iafric,"1,2,4",NA,I compared my estimates for the past 6 months with the actual data during that period and updated my estimates. I also used the past data to make the new estimates.,Research on implicit attitudes suggest that implicit attitudes are difficult to change. I therefore did not expect any huge changes.,-,1,1,0,1,0,0,0,0,0,0,0,0,
23,R_1gcjcwcFt7dVhqG,R_1gcjcwcFt7dVhqG,BlackSwan,eafric,"1,4",NA,I compared my estimates for the past 6 months with the actual data during that period and updated my estimates. I also used the past data to make the new estimates.,"Following discussions on Twitter, it seems to me that expressing negative attitudes toward african americans is even less socially acceptable than before the death of George Floyd.",-,1,1,0,1,0,0,0,0,1,1,0,1,
24,R_1gcjcwcFt7dVhqG,R_1gcjcwcFt7dVhqG,BlackSwan,igend,"1,2,4",NA,I compared my estimates for the past 6 months with the actual data during that period and updated my estimates. I also used the past data to make the new estimates.,"Research suggests that implicit attitudes are difficult (but not impossible) to change. Because of this and because of more flexible gender roles in Society, I predict a slight decrease in gender-Career bias.",-,1,1,0,1,0,0,0,0,0,0,0,0,
25,R_1gcjcwcFt7dVhqG,R_1gcjcwcFt7dVhqG,BlackSwan,egend,"1,4",NA,I compared my estimates for the past 6 months with the actual data during that period and updated my estimates. I also used the past data to make the new estimates.,Gender roles did change in the past decades and seem continue to change. I therefore predict a slight decrease in explicit gender-Career bias.,-,1,1,0,1,0,0,0,0,0,0,0,0,
26,R_2Uhk1Yuj0cBFlT5,R_2Uhk1Yuj0cBFlT5,Mr Muddle,easian,"1,2",NA,NA,"I based my estimations on social psychological concepts about cognitive heuristics (e.g., we trust what leaders say because we think they are the experts and the ""saviours"" and so if they say Chinese are to be blamed or if they stop saying that, that will have huge repercussions on how people will think and behave) and how people deal with uncertainty (e.g., if people are uncertain about something, say the current pandemic, they will want to gain a sense of control by trying to attribute it to something concrete, such as to blame Asian-Americans and if the pandemic gets eradicated somewhat next year, that uncertainly will diminish together with the need to seek an imaginary sense of control).","COVID-19 case numbers and political leadership change. We think the case numbers will make a difference because if the numbers are going up, people get more anxious and uncertain and will try to blame Asian Americans more and if this desire will diminish once the numbers fall. The same can be said for leadership changes as Trump, being a vocal critic of China, steps down, there will be less racist comments made by a world leader about COVID-19 and this will also in turn diminish the notion in people's minds about attributing blame to the Asian American community.",0,0,0,0,0,0,0,0,1,1,0,1,
27,R_85MoCqRRQ2G0h1f,R_85MoCqRRQ2G0h1f,HSCNAC,polar,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
28,R_85MoCqRRQ2G0h1f,R_85MoCqRRQ2G0h1f,HSCNAC,iafric,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
29,R_332xVIyLuh4J5SG,R_332xVIyLuh4J5SG,polarization-2020CO,lifesat,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
30,R_332xVIyLuh4J5SG,R_332xVIyLuh4J5SG,polarization-2020CO,negaffect,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
31,R_332xVIyLuh4J5SG,R_332xVIyLuh4J5SG,polarization-2020CO,posaffect,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
32,R_332xVIyLuh4J5SG,R_332xVIyLuh4J5SG,polarization-2020CO,ideoldem,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
33,R_332xVIyLuh4J5SG,R_332xVIyLuh4J5SG,polarization-2020CO,ideolrep,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
34,R_332xVIyLuh4J5SG,R_332xVIyLuh4J5SG,polarization-2020CO,polar,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
35,R_3HLgkNujSYAT3nW,R_3HLgkNujSYAT3nW,MLTS,lifesat,4,NA,"A combination of autoregressive moving-average model (ARIMA),  exponential smoothing model (ETS), and  Theta model. To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use COVID19 as a indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year.",None,"To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use the COVID19 factor as a indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year. For example,  in years 2020 and 2021, this indicator variable is set to 1.",0,0,0,0,0,0,0,0,0,0,0,0,
36,R_3HLgkNujSYAT3nW,R_3HLgkNujSYAT3nW,MLTS,negaffect,4,NA,"A combination of autoregressive moving-average model (ARIMA),  exponential smoothing model (ETS), and  Theta model. To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use COVID19 as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year.",None,"To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use the COVID19 factor as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year. For example,  in years 2020 and 2021, this indicator variable is set to 1.",0,0,0,0,0,0,0,0,0,0,0,0,
37,R_3HLgkNujSYAT3nW,R_3HLgkNujSYAT3nW,MLTS,posaffect,4,NA,"A combination of autoregressive moving-average model (ARIMA),  exponential smoothing model (ETS), and  Theta model. To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use COVID19 as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year.",None,"To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use the COVID19 factor as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year. For example,  in years 2020 and 2021, this indicator variable is set to 1.",0,0,0,0,0,0,0,0,0,0,0,0,
38,R_3HLgkNujSYAT3nW,R_3HLgkNujSYAT3nW,MLTS,polar,4,NA,"A combination of autoregressive moving-average model (ARIMA),  exponential smoothing model (ETS), and  Theta model. To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use COVID19 as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year.","To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use the COVID19 factor as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year. For example,  in years 2020 and 2021, this indicator variable is set to 1.",The existence of COVID19 virus in a given year,0,0,0,0,0,0,0,0,0,0,0,0,
39,R_3HLgkNujSYAT3nW,R_3HLgkNujSYAT3nW,MLTS,iasian,4,NA,"A combination of autoregressive moving-average model (ARIMA),  exponential smoothing model (ETS), and  Theta model. To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use COVID19 as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year.",None,"To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use the COVID19 factor as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year. For example,  in years 2020 and 2021, this indicator variable is set to 1.",0,0,0,0,0,0,0,0,0,0,0,0,
40,R_3HLgkNujSYAT3nW,R_3HLgkNujSYAT3nW,MLTS,easian,4,NA,"A combination of autoregressive moving-average model (ARIMA),  exponential smoothing model (ETS), and  Theta model. To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use COVID19 as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year.","To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use the COVID19 factor as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year. For example,  in years 2020 and 2021, this indicator variable is set to 1.",The existence of COVID19 virus in a given year,0,0,0,0,0,0,0,0,0,0,0,0,
41,R_3HLgkNujSYAT3nW,R_3HLgkNujSYAT3nW,MLTS,iafric,4,NA,"A combination of autoregressive moving-average model (ARIMA),  exponential smoothing model (ETS), and  Theta model. To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use COVID19 as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year.","To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use the COVID19 factor as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year. For example,  in years 2020 and 2021, this indicator variable is set to 1.",The existence of COVID19 virus in a given year,0,0,0,0,0,0,0,0,0,0,0,0,
42,R_3HLgkNujSYAT3nW,R_3HLgkNujSYAT3nW,MLTS,eafric,4,NA,"A combination of autoregressive moving-average model (ARIMA),  exponential smoothing model (ETS), and  Theta model. To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use COVID19 as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year.","To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use the COVID19 factor as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year. For example,  in years 2020 and 2021, this indicator variable is set to 1.",The existence of COVID19 virus in a given year,0,0,0,0,0,0,0,0,0,0,0,0,
43,R_3HLgkNujSYAT3nW,R_3HLgkNujSYAT3nW,MLTS,igend,4,NA,"A combination of autoregressive moving-average model (ARIMA),  exponential smoothing model (ETS), and  Theta model. To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use COVID19 as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year.",None,"To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use the COVID19 factor as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year. For example,  in years 2020 and 2021, this indicator variable is set to 1.",0,0,0,0,0,0,0,0,0,0,0,0,
44,R_3HLgkNujSYAT3nW,R_3HLgkNujSYAT3nW,MLTS,egend,4,NA,"A combination of autoregressive moving-average model (ARIMA),  exponential smoothing model (ETS), and  Theta model. To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use COVID19 as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year.",None,"To compute the final forecasts, we calculate the simple average of forecasts across these three models. Also in the ARIMA model, we use the COVID19 factor as an indicator variable (dummy variable with the values of 0 and 1) to indicate the existence of COVID19 virus in a given year. For example,  in years 2020 and 2021, this indicator variable is set to 1.",0,0,0,0,0,0,0,0,0,0,0,0,
45,R_1fiPEcBGgy8EQKu,R_1fiPEcBGgy8EQKu,Average Joes,lifesat,4,NA,Average over time series,Mean reversion,mean reversion,1,0,1,1,0,0,0,0,0,0,0,0,
46,R_1fiPEcBGgy8EQKu,R_1fiPEcBGgy8EQKu,Average Joes,negaffect,4,NA,Average over time series,mean reversion,mean reversion,1,0,1,1,0,0,0,0,0,0,0,0,
47,R_1fiPEcBGgy8EQKu,R_1fiPEcBGgy8EQKu,Average Joes,posaffect,4,NA,Average over time series,mean reversion,mean reversion,1,0,1,1,0,0,0,0,0,0,0,0,
48,R_1fiPEcBGgy8EQKu,R_1fiPEcBGgy8EQKu,Average Joes,ideoldem,4,NA,Average over time series,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,
49,R_1fiPEcBGgy8EQKu,R_1fiPEcBGgy8EQKu,Average Joes,ideolrep,4,NA,Average over time series,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,
50,R_1fiPEcBGgy8EQKu,R_1fiPEcBGgy8EQKu,Average Joes,iasian,4,NA,Average over time series,mean reversion,mean reversion,1,0,1,1,0,0,0,0,0,0,0,0,
51,R_1fiPEcBGgy8EQKu,R_1fiPEcBGgy8EQKu,Average Joes,easian,4,NA,Average over time series,mean reversion,mean reversion,1,0,1,1,0,0,0,0,0,0,0,0,
52,R_1fiPEcBGgy8EQKu,R_1fiPEcBGgy8EQKu,Average Joes,iafric,4,NA,Average over time series,mean reversion,mean reversion,1,0,1,1,0,0,0,0,0,0,0,0,
53,R_1fiPEcBGgy8EQKu,R_1fiPEcBGgy8EQKu,Average Joes,eafric,4,NA,Average over time series,mean reversion,mean reversion,1,0,1,1,0,0,0,0,0,0,0,0,
54,R_1fiPEcBGgy8EQKu,R_1fiPEcBGgy8EQKu,Average Joes,igend,4,NA,Average over time series,mean reversion,mean reversion,1,0,1,1,0,0,0,0,0,0,0,0,
55,R_1fiPEcBGgy8EQKu,R_1fiPEcBGgy8EQKu,Average Joes,egend,4,NA,Average over time series,mean reversion,mean reversion,1,0,1,1,0,0,0,0,0,0,0,0,
56,R_1Oqc1q8AmoBm60k,R_1Oqc1q8AmoBm60k,FMTeam,iafric,4,NA,"After testing for seasonality and discontinuity, we used the mean of new values after the onset of COVID-19 pandemic and racial protests in the USA.","We assumed that the measure is invalid and unreliable. However, our analyses showed that there was a change after the recent events and we updated out forecast.","Because of the theoretical framework outlined above, we did not use any additional variables.",1,1,0,1,0,0,0,0,1,1,0,1,
57,R_1Oqc1q8AmoBm60k,R_1Oqc1q8AmoBm60k,FMTeam,eafric,4,NA,"After testing for seasonality and discontinuity, we used the mean of new values after the onset of COVID-19 pandemic and racial protests in the USA.",Our analyses showed that there was a change after the recent events and we updated out forecast.,"Because of the lack of any theoretical framework, we did not use any additional variables.",1,1,0,1,0,0,0,0,1,1,0,1,
58,R_1Oqc1q8AmoBm60k,R_1Oqc1q8AmoBm60k,FMTeam,igend,4,NA,"After testing for seasonality and discontinuity, we defaulted to the mean over all values.",We assumed that the measure is invalid and unreliable.,"Because of our theoretical framework, we did not use any additional variables.",0,1,1,1,0,0,0,0,1,1,0,1,
59,R_1Oqc1q8AmoBm60k,R_3nGCQxzudFgRjPt,FMTeam,lifesat,4,NA,"After testing for seasonality and discontinuity, we defaulted to the mean over all values.",Life satisfaction tends to adapt back to the base rate if life circumstances change.,"Because of the theoretical framework outlined above, we did not use any additional variables.",0,1,1,1,0,0,0,0,1,1,0,1,
60,R_1Oqc1q8AmoBm60k,R_3nGCQxzudFgRjPt,FMTeam,iasian,4,NA,"After testing for seasonality and discontinuity, we used the mean of new values after the onset of COVID-19 pandemic and racial protests in the USA.","We assumed that the measure is invalid and unreliable. However, our analyses showed that there was a change after the recent events and we updated out forecast.",We did not include any additional variables.,1,1,0,1,0,0,0,0,1,1,0,1,
61,R_1Fh4g1iqczH5dqU,R_1Fh4g1iqczH5dqU,Heather Shimmer,iasian,4,NA,regression model. Then selected mean of past 12 months.,NA,None.,1,1,0,1,0,0,0,0,0,0,0,0,
62,R_1Fh4g1iqczH5dqU,R_1Fh4g1iqczH5dqU,Heather Shimmer,iafric,4,NA,Regression Model. Then we selected mean of past 24 months.,NA,None.,1,1,0,1,0,0,0,0,0,0,0,0,
63,R_1Fh4g1iqczH5dqU,R_1Fh4g1iqczH5dqU,Heather Shimmer,igend,4,NA,Regression model. Then selected mean of past 12 months.,NA,None,1,1,0,1,0,0,0,0,0,0,0,0,
64,R_2rVqupiZCitVuHS,R_2rVqupiZCitVuHS,R4VST9,iasian,1,NA,NA,NA,"We did not run any formal analysis but considered the number of covid19 confirmed cases, the number of covid19 related deaths, and the election result.",0,0,0,0,0,0,0,0,1,1,0,1,
65,R_2CpOXnTbesiiAjq,R_2CpOXnTbesiiAjq,ForecastSnorecast,iasian,1,NA,NA,n/a,presidential election; winter,0,0,0,0,0,0,0,0,1,1,0,1,
66,R_2CpOXnTbesiiAjq,R_2CpOXnTbesiiAjq,ForecastSnorecast,iafric,1,NA,NA,"Internal vs. external motivation to control prejudice; this motivation changes with societal norm, which will change with the change in political leadership.",Presidential election.,0,0,0,0,0,0,0,0,1,1,0,1,
67,R_xAcedXyD9NwsZ33,R_xAcedXyD9NwsZ33,Imielin,lifesat,"1,2",NA,NA,"Stability in life satisfaction, only some minor changes are possible, but the general way of evaluating life, connected with optimism won't change a lot despite COVID.","Personal strengths connected with virtues or psychological traits like optimism. Previously I was focused on external factors like deaths, political change, etc. But now I see that the satisfaction did not change so much, so I predict that it might be connected with some personal strength (positive psychological traits, cognitive way of thinking about life).",1,1,0,1,0,0,0,0,0,0,0,0,
68,R_xAcedXyD9NwsZ33,R_xAcedXyD9NwsZ33,Imielin,negaffect,1,NA,NA,no,"COVID deaths, political news, anti-racism movements (or other social movements)",0,0,0,0,0,0,0,0,1,1,0,1,
69,R_xAcedXyD9NwsZ33,R_xAcedXyD9NwsZ33,Imielin,posaffect,1,NA,NA,no,"COVID deaths, political news, anti-racism movements (or other social movements)",0,0,0,0,0,0,0,0,1,1,0,1,
70,R_xAcedXyD9NwsZ33,R_xAcedXyD9NwsZ33,Imielin,ideoldem,1,NA,NA,no,political news in the USA,0,0,0,0,0,0,0,0,0,1,1,0,"unsure about external events ""political news"" in the last 6 months? Leaving 0 bc not ""explicit"" justification"
71,R_xAcedXyD9NwsZ33,R_xAcedXyD9NwsZ33,Imielin,ideolrep,1,NA,NA,no,political news in the USA,0,0,0,0,0,0,0,0,0,1,1,0,
72,R_xAcedXyD9NwsZ33,R_xAcedXyD9NwsZ33,Imielin,polar,1,NA,NA,no,"news about political issues, political voting, win of Democrats, COVID deaths (and still no using vaccine)",0,0,0,0,0,0,0,0,1,1,0,1,
73,R_xAcedXyD9NwsZ33,R_xAcedXyD9NwsZ33,Imielin,iasian,1,NA,NA,no,News about COVID cases in China and similar countries.,0,0,0,0,0,0,0,0,0,1,1,0,
74,R_xAcedXyD9NwsZ33,R_xAcedXyD9NwsZ33,Imielin,easian,1,NA,NA,no,COVID deaths,0,0,0,0,0,0,0,0,0,1,1,0,
75,R_xAcedXyD9NwsZ33,R_xAcedXyD9NwsZ33,Imielin,iafric,1,NA,NA,no,COVID deaths,0,0,0,0,0,0,0,0,0,1,1,0,
76,R_xAcedXyD9NwsZ33,R_xAcedXyD9NwsZ33,Imielin,eafric,1,NA,NA,no,COVID deahts,0,0,0,0,0,0,0,0,0,1,1,0,
77,R_xAcedXyD9NwsZ33,R_xAcedXyD9NwsZ33,Imielin,igend,1,NA,NA,no,"women in politics and their influence/change; COVID deaths, COVID unemployment (women take care of children)",0,0,0,0,0,0,0,0,0,1,1,0,
78,R_xAcedXyD9NwsZ33,R_xAcedXyD9NwsZ33,Imielin,egend,1,NA,NA,no,"COVID deaths, female politicians that make some difference, and female researchers that make some help in the fight with the pandemic.",0,0,0,0,0,0,0,0,0,1,1,0,
79,R_1eXBxFsPqmbz1YG,R_1eXBxFsPqmbz1YG,ms607,lifesat,"1,4",NA,time series extrapolation,NA,NA,0,1,1,1,0,0,0,0,0,0,0,0,
80,R_1eXBxFsPqmbz1YG,R_1eXBxFsPqmbz1YG,ms607,negaffect,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
81,R_1eXBxFsPqmbz1YG,R_1eXBxFsPqmbz1YG,ms607,posaffect,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
82,R_1eXBxFsPqmbz1YG,R_1eXBxFsPqmbz1YG,ms607,polar,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
83,R_1eXBxFsPqmbz1YG,R_1eXBxFsPqmbz1YG,ms607,iasian,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
84,R_30pmklDspYwSROq,R_30pmklDspYwSROq,The Nowcast,ideoldem,"1,2",NA,NA,Long-run averages of political preferences surrounding/following election years.,Past polls in election years.,0,0,0,0,0,0,0,0,0,1,1,0,
85,R_30pmklDspYwSROq,R_30pmklDspYwSROq,The Nowcast,ideolrep,"1,2",NA,NA,Long-run averages of political preferences surrounding/following election years.,Past polls in election years.,0,0,0,0,0,0,0,0,0,1,1,0,
86,R_30pmklDspYwSROq,R_30pmklDspYwSROq,The Nowcast,polar,"1,2,4",NA,Historical long-run averages of polarization around elections.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,
87,R_tVYUPezVI8kRnVL,R_tVYUPezVI8kRnVL,CarrNCUSA,lifesat,4,NA,auto.arima,NA,No other parameters,0,0,0,0,0,0,0,0,0,0,0,0,
88,R_tVYUPezVI8kRnVL,R_tVYUPezVI8kRnVL,CarrNCUSA,ideoldem,4,NA,auto.arima,N/A,none,0,0,0,0,0,0,0,0,0,0,0,0,
