"","ResponseId","phase","domain","model","theory","parameters","numpred","covidcondyn","covidmeas","coviddesc"
"11","R_12L9npXg1YbCpY7",1,"iafric","Regression modeling",NA,"None",0,0,NA,NA
"12","R_12L9npXg1YbCpY7",2,"iafric","Regression Model. Then we selected mean of past 24 months.",NA,"None.",0,0,NA,NA
"13","R_12L9npXg1YbCpY7",1,"iasian","Regression modeling",NA,"None",0,0,NA,NA
"14","R_12L9npXg1YbCpY7",2,"iasian","regression model. Then selected mean of past 12 months.",NA,"None.",0,0,NA,NA
"15","R_12L9npXg1YbCpY7",1,"igend","Regression modeling",NA,"None",0,0,NA,NA
"16","R_12L9npXg1YbCpY7",2,"igend","Regression model. Then selected mean of past 12 months.",NA,"None",0,0,NA,NA
"17","R_1C41iSRHRcK8H7i",1,"easian",NA,"My forecast is based broadly on the evolutionary underpinnings of racism in general. From an evolutionary viewpoint, humans have spent much of our evolutionary history interacting mainly with people of the same community (tribe), and ""outsiders"" are often viewed as ""dangerous"" as evidence has suggested intergroup conflicts were rife and were often deadly. Fast forward to the modern day, while people in the U.S have generally learned to live fairly harmoniously with people who are ethnically different from each other through education and social learning. However, explicit bias towards people who are different to the majority group (e.g., Asian-American bias) might become more apparent again as such evolved cognitive bias are activated by regular reports of the coronavirus links to China and with President Trump and the White House regularly reinforcing such ideas. In addition, when people are faced with threats to their survival, they also tended to become more impulsive from an evolutionary standpoint as a strategy to cope with the stressors and the easier (wrong) option is for some people to direct their fears and anger towards a perceived outgroup who have been accused by some to be at fault.  ","COVID-19 cases and death rates could predict how much longer the virus outbreak will last, and hence how much more distress the population is going to be put under; thereby predicting people's reactions to these stressors. The same could be said for lockdown restriction measures across the U.S.
The date of the U.S presidential elections will predict how a rise of these bias as Donald Trump is likely going to bank on an anti-China, protect U.S selling point for his campaign. ",3,1,2,"As indicated previously, the number of COVID-19 cases will predict how much more distress the population is going to be put under, and how impulsive people are therefore going to be (e.g., blaming and directing their anger towards the Asian-American community). This effect is likely going to be accentuated by constant feeding of additional biased information from the president and the White house on this issue. "
"18","R_1C41iSRHRcK8H7i",2,"easian",NA,"I based my estimations on social psychological concepts about cognitive heuristics (e.g., we trust what leaders say because we think they are the experts and the ""saviours"" and so if they say Chinese are to be blamed or if they stop saying that, that will have huge repercussions on how people will think and behave) and how people deal with uncertainty (e.g., if people are uncertain about something, say the current pandemic, they will want to gain a sense of control by trying to attribute it to something concrete, such as to blame Asian-Americans and if the pandemic gets eradicated somewhat next year, that uncertainly will diminish together with the need to seek an imaginary sense of control).  ","COVID-19 case numbers and political leadership change. We think the case numbers will make a difference because if the numbers are going up, people get more anxious and uncertain and will try to blame Asian Americans more and if this desire will diminish once the numbers fall. The same can be said for leadership changes as Trump, being a vocal critic of China, steps down, there will be less racist comments made by a world leader about COVID-19 and this will also in turn diminish the notion in people's minds about attributing blame to the Asian American community. ",2,1,2,"When cases go up, people become more anxious and uncertain and will want to blame someone more as a way to regain a sense of control; while the reverse is true when the number goes down as the desire for achieving an imaginary sense of control is not as urgent anymore. "
"19","R_1E6tnVIZxJQDW8X",1,"eafric","Used a linear regression model and an ARIMA model","Generally based on info that anti-black bias hasn't changed much, very small negative going trend based on YOUR papers Tessa Charlesworth (liked that paper)","na",0,0,NA,NA
"20","R_1E6tnVIZxJQDW8X",2,"eafric",NA,"Regression to the mean","Updating based on the mean",0,0,NA,NA
"21","R_1E6tnVIZxJQDW8X",1,"easian","Linear regression model and ARIMA model same results
Ultimately I ignored and took the mean, with a manual tweak","Same as my implicit answers, i don't anticipate different results for implicit and explicit, here treating them as just two measures of same latent factor, bias","That there will be a small bump in bias around election because of Trump blaming China for virus",0,0,NA,NA
"22","R_1E6tnVIZxJQDW8X",2,"easian",NA,"Regression to the mean","Updating based on the mean",0,0,NA,NA
"23","R_1E6tnVIZxJQDW8X",1,"iafric","Ultimately just the mean of implicit bias, no linear trend, linear regression and arima yield same results","I assume implicit bias toward Black folks will not change, and hasn't really changed, with a lot of measurement error","na",0,0,NA,NA
"24","R_1E6tnVIZxJQDW8X",2,"iafric",NA,"Regression to the mean","Updating based on the mean",0,0,NA,NA
"25","R_1E6tnVIZxJQDW8X",1,"iasian","Linear regression model : m1 <-lm(Implicit.Asian.American.Bias ~ Time, data=ai)
ARIMA forecasting model 
They yielded the same results
Ultimately I ignored the very small trends and just used the mean. Trump effect was based on 1SD.","I think Trump will blame China for virus, this might receive attention near elections. This will translate into anti-Asian-American feelings. Theories....scapegoating? Group-identity based prejudice? 

Also I think prejudices are pretty stable over time, had a strong prior. ","n/a",0,0,NA,NA
"26","R_1E6tnVIZxJQDW8X",2,"iasian",NA,"Regression to the mean","Updating my estimates based on the mean",0,0,NA,NA
"27","R_1feG7nZChYPoRsc",1,"lifesat",NA,NA,NA,NA,NA,NA,NA
"28","R_1gSdkjbKq3WwAUh",1,"lifesat","Time series model with even adjustment","Adjusted for the dramatic virus pandemic event ","Unemployment rate, GDP Growth ",NA,0,NA,NA
"29","R_1gu2I9N9y2P5XYo",1,"eafric","linear regression","assumptions of linear regression",NA,NA,0,NA,NA
"30","R_1gu2I9N9y2P5XYo",2,"eafric",NA,NA,NA,NA,0,NA,NA
"31","R_1gu2I9N9y2P5XYo",1,"negaffect","Simple linear regression.","General centralizing tendencies can predict trajectories, but are unlikely to be accurate for any one specific data point.","I didn't utilize extra variables, except the ones provided in the dataset.",NA,0,NA,NA
"32","R_1gu2I9N9y2P5XYo",2,"negaffect","linear regression",NA,NA,NA,0,NA,NA
"33","R_1gu2I9N9y2P5XYo",1,"polar","linear regression based on previous trends","assumed a linear trajectory",NA,NA,0,NA,NA
"34","R_1gu2I9N9y2P5XYo",2,"polar","linear regression",NA,NA,NA,0,NA,NA
"35","R_1gu2I9N9y2P5XYo",1,"posaffect","Simple linear regression.","General centralizing tendencies can predict trajectories, but are unlikely to be accurate for any one specific data point.","I didn't utilize extra variables, except the ones provided in the dataset.",NA,0,NA,NA
"36","R_1gu2I9N9y2P5XYo",2,"posaffect","linear regression",NA,NA,NA,0,NA,NA
"37","R_1gw4q8OGemNDYMb",1,"lifesat","The path of life satisfaction index has a remarkably stable and high (65% to 75%) correlation with retail sales and the stock market on a horizon from 1 to 12 months. Thus a dynamic regression model was built around this relationship and forecasts were generated with different delay periods for each forecasting horizon. For each horizon h there were h forecasts available, so at horizon h=12 all 12 forecasts were available. However, the final forecasts are essentially the h-step forecasts for each h delay used in the corresponding model (that is, the diagonal of the matrix of the forecasts was used in the end).","Life satisfaction must correlate with consumption and the state of financial markets, more so in the US than elsewhere. In fact this correlation appears strongly in the data. See next question also","Retail sales and the SP500 index were used as explanatory variables in the model",2,0,NA,NA
"38","R_1GxdcirtZvLpqZC",1,"eafric","N/A","N/A","N/A",NA,0,NA,NA
"39","R_1GxdcirtZvLpqZC",1,"easian","see pdf","N/A","N/A",NA,0,NA,NA
"40","R_1GxdcirtZvLpqZC",1,"egend","N/A","N/A","N/A",NA,0,NA,NA
"41","R_1GxdcirtZvLpqZC",1,"iafric","see pdf","N/A","N/A",NA,0,NA,NA
"42","R_1GxdcirtZvLpqZC",1,"iasian","see pdf","N/A","N/A",NA,0,NA,NA
"43","R_1GxdcirtZvLpqZC",1,"igend","N/A","N/A","N/A",NA,0,NA,NA
"44","R_1GxdcirtZvLpqZC",1,"lifesat","see pdf","N/A","None",NA,0,NA,NA
"45","R_1GxdcirtZvLpqZC",1,"negaffect","see pdf","N/A","N/A",NA,0,NA,NA
"46","R_1GxdcirtZvLpqZC",1,"posaffect","see pdf","N/A","N/A",NA,0,NA,NA
"47","R_1hBj0OFNl0kStor",1,"eafric",NA,"no","COVID deaths, the problem with work like unemployment, home-office, fakes news about African people, statistics for African countries connected with COVID, do participants know African people closely, personality traits, other psychological traits like collective narcism",8,1,1,"I am tired, loss of energy and afraid of the future - my thinking can be wrong, not correct"
"48","R_1hBj0OFNl0kStor",2,"eafric",NA,"no","COVID deahts",5,1,1,"Higher deaths, higher bias, but not as much as for Asians."
"49","R_1hBj0OFNl0kStor",1,"easian",NA,"no","COVID deaths, media information about Asian people, statistics about Asian countries and COVID, fake news about Asians, personality trains, previous racism, political views, psychological trains like collective narcism",8,1,1,"I am tired of home-office, taking care of kids, I might make wring decisions and be less focused"
"50","R_1hBj0OFNl0kStor",2,"easian",NA,"no","COVID deaths",8,1,1,"More deaths, more bias."
"51","R_1hBj0OFNl0kStor",1,"egend",NA,"no","COVID deaths, home-office, unemployment, the school closed, teaching at home, previous views about gender discrimination, personality traits, personal life situation like having children, being in the relationship, etc.",9,1,1,"tired, home-office, kids at home, school at home, affraid of the future, being a woman"
"52","R_1hBj0OFNl0kStor",2,"egend",NA,"no","COVID deaths, female politicians that make some difference, and female researchers that make some help in the fight with the pandemic.",7,1,1,"More deaths, more bias. Generally, women's position in the pandemic is worse, as they usually take care of children."
"53","R_1hBj0OFNl0kStor",1,"iafric",NA,"no","COVID deaths, unemployment rate, statistics about African countries and COVID, fake news, previous contacts with African people, personality traits and other psychological traits like a collective narcism",7,1,1,"I am tired of working home, some level of anxeity may be connected with worst thinking and decision making"
"54","R_1hBj0OFNl0kStor",2,"iafric",NA,"no","COVID deaths",5,1,1,"More deaths, a little more bias. But not as much as for Asians."
"55","R_1hBj0OFNl0kStor",1,"iasian",NA,"no","COVID deaths, media information, statistics about how Asian countries managed the COVID pandemic, if I have Asian friends or not (as a participant of the study), if I was previously racist, personality traits and other psychological variables that make people more racist",7,1,1,"I might be tired, home-office has it's negative consequences on rational thinking"
"56","R_1hBj0OFNl0kStor",2,"iasian",NA,"no","News about COVID cases in China and similar countries.",4,1,1,"Higher deaths, more bias."
"57","R_1hBj0OFNl0kStor",1,"ideoldem",NA,"no","Covid deaths, unemployment rate, home-office, taking care of children, closed schools, medical problems (with easy medical treatment), political decisions, media influence",8,1,1,"Yes, it will impact a lot. Deaths are correlated with political decisions and preferences - if the political party will make wrong decisions for me personally (and I will lose my job because of it), I may change my mind to vote for that party in the future."
"58","R_1hBj0OFNl0kStor",2,"ideoldem",NA,"no","political news in the USA",10,1,1,"A higher number of deaths, no vaccine (or fast giving the vaccine to the people) may impact the perceptions of democrats as the winning party. If they will effectively use the vaccine and there will be generally better health (fewer deaths), their perception will be better, but if not - wrose."
"59","R_1hBj0OFNl0kStor",1,"ideolrep",NA,"no","Covid deaths, unemployment rate, home-office, taking care of children, closed schools, medical problems (with easy medical treatment), political decisions, media influence",8,1,1,"Yes, it will impact a lot. Deaths are correlated with political decisions and preferences - if the political party will make wrong decisions for me personally (and I will lose my job because of it), I may change my mind to vote for that party in the future."
"60","R_1hBj0OFNl0kStor",2,"ideolrep",NA,"no","political news in the USA",10,1,1,"A higher number of deaths, no vaccine (or fast giving the vaccine to the people) may impact the perceptions of democrats as the winning party. If they will effectively use the vaccine and there will be generally better health (fewer deaths), their perception will be better, but if not - wrose."
"61","R_1hBj0OFNl0kStor",1,"igend",NA,"no","COVID deaths, home-office, unemployment, closed schools, school at home, social distancing rules connected with family/children, personality traits, previous views about gender and family, personal life (participant's gender, their relationships status, having children or not)",9,1,1,"tired, home-office, a school for children at home, affraid of the future"
"62","R_1hBj0OFNl0kStor",2,"igend",NA,"no","women in politics and their influence/change; COVID deaths, COVID unemployment (women take care of children)",15,1,1,"COVID forced a lot of people to take care of children, women work less, as they usually do it. So they are less effective at work."
"63","R_1hBj0OFNl0kStor",1,"lifesat",NA,"I assumed that COVID will impact on LS - so it will be lower LS general. It includes psychological factors like home-office, lost of work, taking care of children, deaths (even seen in the TV), etc. but also I included external factors like the weather - in July people will go on holidays so the LS will be lower on Twitter what I can see in the previous data. In months like November, people will be more afraid of a new wave of COVID, do LS will be lower. December-no normal Christmas etc. Spring 2021 will bring new energy and hope - higher LS.","Weather (lower LS scores during holidays in July - because people will leave twitter also, and during Autumn because of being afraid of a new wave of COVID), COVID deaths, home-office, unemployment, taking care of kids, political problems, long waiting for medical help.",8,1,1,"During CIVID pandemic I am tired, have a lot of work, and generally busy with home-office and kids. I may do mistakes, not be open-minded and good predictor. I am also afraid of the future, the future of my job, of my children's school, of my partner's job, of my parents, of all the world..."
"64","R_1hBj0OFNl0kStor",2,"lifesat",NA,"Stability in life satisfaction, only some minor changes are possible, but the general way of evaluating life, connected with optimism won't change a lot despite COVID.","Personal strengths connected with virtues or psychological traits like optimism. Previously I was focused on external factors like deaths, political change, etc. But now I see that the satisfaction did not change so much, so I predict that it might be connected with some personal strength (positive psychological traits, cognitive way of thinking about life).",10,0,NA,NA
"65","R_1hBj0OFNl0kStor",1,"negaffect",NA,"NO","Covid deaths, unemployment, taking care of children, home-office, political changes, social changes in communication and groups prejudice, health problems connected with medical treatment, being afraid of all situation, general anxiety",8,1,1,"Very. Especially negative affect will grow: about politics, media, social distancing, wrong political decisions, hard home-office time (or with kids) or unemployment, etc.
"
"66","R_1hBj0OFNl0kStor",2,"negaffect",NA,"no","COVID deaths, political news, anti-racism movements (or other social movements)",10,1,1,"More deaths, more negative affect."
"67","R_1hBj0OFNl0kStor",1,"polar",NA,"no","Covid deaths, unemployment rate, political leadership change, political decisions, changing rules in social distancing that influence on my personal life",5,1,1,"If ""my"" party did the right decision connected with covid like rules of social distancing which I approve, then I will be more strongly agree with that party. So I expect political polarization to be stronger as political decisions willl have direct impact on my life which I will see quit fast."
"68","R_1hBj0OFNl0kStor",2,"polar",NA,"no","news about political issues, political voting, win of Democrats, COVID deaths (and still no using vaccine)",9,1,1,"More deaths (COVID), later the vaccine use, less support for Democrats who are now responsible for a fight with the pandemic as winner party. But probably people will fight for their political preferences looking for the arguments against the not preferred party, so probably the polarization will be as strong as now."
"69","R_1hBj0OFNl0kStor",1,"posaffect",NA,"NO","Covid deaths, unemployment, taking care of children, home-office, political changes, social changes in communication and groups prejudice, health problems connected with medical treatment, being afraid of all situation, general anxiety",8,1,1,"Very. Especially negative affect will grow: about politics, media, social distancing, wrong political decisions, hard home-office time (or with kids) or unemployment, etc.
"
"70","R_1hBj0OFNl0kStor",2,"posaffect",NA,"no","COVID deaths, political news, anti-racism movements (or other social movements)",10,1,1,"More deaths, more negative affect."
"71","R_1hHgqlFAgXCR12p",1,"eafric","ARIMA model where p=0, d=1, q=0",NA,"None.",NA,0,NA,NA
"72","R_1hHgqlFAgXCR12p",2,"eafric","We employed a standard LSTM model to predict the values for the next 12-months. The model uses data from the past 4 months to predict values for the next 4 months, and we iterate this process to obtain the forecasts for the next 12 months (i.e., forecasts of the first 4 months are used as inputs for the next 4 months, and so on). ",NA,"None",NA,0,NA,NA
"73","R_1hHgqlFAgXCR12p",1,"easian","ARIMA model where p=0, d=0, q=0",NA,"None.",NA,0,NA,NA
"74","R_1hHgqlFAgXCR12p",2,"easian","We employed a standard LSTM model to predict the values for the next 12-months. The model uses data from the past 4 months to predict values for the next 4 months, and we iterate this process to obtain the forecasts for the next 12 months (i.e., forecasts of the first 4 months are used as inputs for the next 4 months, and so on). ",NA,"None",NA,0,NA,NA
"75","R_1hHgqlFAgXCR12p",1,"egend","ARIMA model where p=0, d=1, q=0",NA,"None.",NA,0,NA,NA
"76","R_1hHgqlFAgXCR12p",2,"egend","We employed a standard LSTM model to predict the values for the next 12-months. The model uses data from the past 4 months to predict values for the next 4 months, and we iterate this process to obtain the forecasts for the next 12 months (i.e., forecasts of the first 4 months are used as inputs for the next 4 months, and so on). ",NA,"None",NA,0,NA,NA
"77","R_1hHgqlFAgXCR12p",1,"iafric","ARIMA model where p=0, d=1, q=1",NA,"None.",NA,0,NA,NA
