,X,ResponseId,team_name,phase,domain,DataOnly,parameters,numpred,covidcondyn,covidmeas,covidmeas_6_TEXT,MA_UniqueParam,OT_UniqueParam,MA_Comments,OT_Comments,Agreement,parameters_coded,MA_Flag,OT_Flag
19,19,R_2UgadrXE2OiyQIB,TheMets,1,igend,1,See answers for Life Satisfaction,NA,NA,NA,NA,0,0,,"Answer to life satisfaction: ""None.""",1,0,NA,NA
20,20,R_2UgadrXE2OiyQIB,TheMets,1,egend,1,See answers for Life Satisfaction,NA,NA,NA,NA,0,0,,"Answer to life satisfaction: ""None.""",1,0,NA,NA
21,21,R_2ZZyRqUPQ41Rcxl,AhamBrahamasmi,1,lifesat,NA,none,1,1,3,Economic effect,1,1,,,1,1,NA,NA
22,22,R_22JuVmmGmu5qWDO,C-Team,1,lifesat,NA,"Expert forecasts on COVID (e.g., the IHME forecasts), even forecasts made for the same day, have been wrong by a lot. Thus, we are not incorporating additional assumption on COVID or other variables into our model. All the given datapoints are summarized using their geometric mean.	",0,0,NA,NA,1,0,,,0,0,NA,NA
23,23,R_sRueTBbGYDURxcd,Cascade Institute,1,lifesat,NA,NA,2,1,2,NA,1,1,,,1,1,NA,NA
24,24,R_2D7zcSqrVUj0sRy,1859,1,igend,1,NA,NA,NA,NA,NA,0,0,,,1,0,NA,NA
25,25,R_2D7zcSqrVUj0sRy,1859,1,egend,1,NA,NA,NA,NA,NA,0,0,,,1,0,NA,NA
26,26,R_WASIBllES8jF0t3,R4VST9,1,iasian,NA,NA,1,1,2,NA,1,1,,,1,1,NA,NA
27,27,R_1C41iSRHRcK8H7i,Mr Muddle,1,easian,NA,"COVID-19 cases and death rates could predict how much longer the virus outbreak will last, and hence how much more distress the population is going to be put under; thereby predicting people's reactions to these stressors. The same could be said for lockdown restriction measures across the U.S.
The date of the U.S presidential elections will predict how a rise of these bias as Donald Trump is likely going to bank on an anti-China, protect U.S selling point for his campaign. ",3,1,2,NA,3,4,,,0,4,NA,NA
28,28,R_3lzeKBOZqIExUsr,polarization-2020CO,1,lifesat,NA,NA,NA,NA,NA,NA,0,0,,,1,0,NA,NA
29,29,R_3lzeKBOZqIExUsr,polarization-2020CO,1,polar,NA,NA,1,1,NA,NA,1,0,,,0,1,NA,NA
30,30,R_3lzeKBOZqIExUsr,polarization-2020CO,1,iasian,NA,NA,NA,NA,NA,NA,0,0,,,1,0,NA,NA
31,31,R_3lzeKBOZqIExUsr,polarization-2020CO,1,easian,NA,NA,1,1,NA,NA,1,0,,,0,1,NA,NA
32,32,R_DAEDt5Ai3qF481z,Seaside,1,lifesat,NA,"I also considered the probability that the recession would not be worse a year from now. While this is quite uncertain, I have assumed that a year from now the economic situation will be better, not worse. ",1,1,2,NA,2,2,,,1,2,NA,NA
33,33,R_1MSUHSwe1zPiuOQ,CarrNCUSA,1,lifesat,NA,None,0,0,NA,NA,1,0,,,0,0,NA,NA
34,34,R_1MSUHSwe1zPiuOQ,CarrNCUSA,1,ideolrep,0,None,0,0,NA,NA,1,0,,,0,0,NA,NA
35,35,R_1MSUHSwe1zPiuOQ,CarrNCUSA,1,ideoldem,0,None,0,0,NA,NA,1,0,,,0,0,NA,NA
36,36,R_2WB8J6PdmAAQGbM,Little Bear,1,polar,NA,NA,2,1,1,NA,1,1,,,1,1,NA,NA
37,37,R_2RWFd9H3z37Yqmb,Foxtrot,1,polar,NA,See above,3,0,NA,NA,1,2,,response to previous question: The assumptions involve the use of recent baserates plus the likely impact of increased polarization following party conventions and proximity to the general election,0,2,NA,NA
38,38,R_3nJlV17e4so1J8U,Old Chickens,1,lifesat,NA,NA,NA,NA,NA,NA,0,0,,,1,0,NA,NA
39,39,R_3nJlV17e4so1J8U,Old Chickens,1,ideolrep,NA,none,0,0,NA,NA,1,0,,,0,0,NA,NA
40,40,R_3nJlV17e4so1J8U,Old Chickens,1,ideoldem,NA,none,0,0,NA,NA,1,0,,,0,0,NA,NA
41,41,R_3nJlV17e4so1J8U,Old Chickens,1,polar,NA,none,0,0,NA,NA,1,0,,,0,0,NA,NA
42,42,R_3nJlV17e4so1J8U,Old Chickens,1,iafric,1,none,0,0,NA,NA,1,0,,,0,0,NA,NA
43,43,R_2bWyfocCOaKkcNN,Abracadabra,1,lifesat,NA,"As explained above, we conducted an MTurk study to get predictions from 244 US citizens.",1,0,NA,NA,1,0,,,0,0,NA,NA
44,44,R_1feG7nZChYPoRsc,Spartacus,1,lifesat,NA,NA,NA,NA,NA,NA,0,0,,,1,0,NA,NA
45,45,R_12L9npXg1YbCpY7,Heather Shimmer,1,iasian,1,None,0,0,NA,NA,1,0,,,0,0,NA,NA
46,46,R_12L9npXg1YbCpY7,Heather Shimmer,1,iafric,1,None,0,0,NA,NA,1,0,,,0,0,NA,NA
47,47,R_12L9npXg1YbCpY7,Heather Shimmer,1,igend,1,None,0,0,NA,NA,1,0,,,0,0,NA,NA
48,48,R_37QXf00ixlpprj3,BlackSwan,1,lifesat,NA,"I just roughly estimated how long the crisis might last on the basis of how long it lasted in some countries (e.g., China, South Korea)",1,1,3,I just roughly estimated the temporal development of the crisis on the basis of the current development in some countries,1,1,,,1,1,NA,NA
49,49,R_37QXf00ixlpprj3,BlackSwan,1,polar,NA,none,NA,NA,NA,NA,0,0,,,1,0,NA,NA
50,50,R_37QXf00ixlpprj3,BlackSwan,1,iasian,NA,-,NA,NA,NA,NA,0,0,,,1,0,NA,NA
51,51,R_37QXf00ixlpprj3,BlackSwan,1,easian,NA,the estimated trajectory of the crisis on the basis of its trajectory in other countries,1,1,3,I simply estimated the trajectory on the basis of the rough development in other countries.,1,1,,,1,1,NA,NA
52,52,R_37QXf00ixlpprj3,BlackSwan,1,iafric,NA,-,NA,NA,NA,NA,0,0,,,1,0,NA,NA
53,53,R_37QXf00ixlpprj3,BlackSwan,1,eafric,NA,-,NA,NA,NA,NA,0,0,,,1,0,NA,NA
54,54,R_37QXf00ixlpprj3,BlackSwan,1,igend,NA,I do not think the crisis will have any impact on implicit career bias,NA,NA,NA,NA,0,0,,,1,0,NA,NA
55,55,R_37QXf00ixlpprj3,BlackSwan,1,egend,NA,my predictions are independent of the trajectory of the crisis. I do not think the crisis will have a storng impact. ,NA,NA,NA,NA,0,0,,,1,0,NA,NA
56,56,R_2tOPX9BWjIhaOf7,Duckling Power,1,lifesat,NA,"economic conditions (unemployment, mostly), election. Assuming continual economic ""bad news"" through the fall and increased political gridlock, culminating in a divisive election.",3,0,NA,NA,3,3,,,1,3,NA,NA
57,57,R_2tOPX9BWjIhaOf7,Duckling Power,1,posaffect,NA,Simply added +.3 to all negative affect scores since it seemed to be affected by COVID in March 2020.,1,0,NA,NA,1,1,,,1,1,NA,NA
58,58,R_2tOPX9BWjIhaOf7,Duckling Power,1,negaffect,NA,Simply added +.3 to all negative affect scores since it seemed to be affected by COVID in March 2020.,1,0,NA,NA,1,1,,,1,1,NA,NA
59,59,R_3QP87teUhx0shwJ,Patricia Arriaga,1,lifesat,NA,NA,NA,NA,NA,NA,0,0,,,1,0,NA,NA
60,60,R_2xRiOHuu4tmQ3k1,Average Joes,1,lifesat,NA,n/a,NA,NA,NA,NA,0,0,,,1,0,NA,NA
61,61,R_2xRiOHuu4tmQ3k1,Average Joes,1,posaffect,NA,n/a,NA,NA,NA,NA,0,0,,,1,0,NA,NA
62,62,R_2xRiOHuu4tmQ3k1,Average Joes,1,negaffect,NA,n/a,NA,NA,NA,NA,0,0,,,1,0,NA,NA
63,63,R_2xRiOHuu4tmQ3k1,Average Joes,1,polar,NA,n/a,NA,NA,NA,NA,0,0,,,1,0,NA,NA
64,64,R_2xRiOHuu4tmQ3k1,Average Joes,1,iasian,NA,n/a,NA,NA,NA,NA,0,0,,,1,0,NA,NA
65,65,R_2xRiOHuu4tmQ3k1,Average Joes,1,easian,NA,n/a,NA,NA,NA,NA,0,0,,,1,0,NA,NA
66,66,R_2xRiOHuu4tmQ3k1,Average Joes,1,iafric,NA,n/a,NA,NA,NA,NA,0,0,,,1,0,NA,NA
67,67,R_2xRiOHuu4tmQ3k1,Average Joes,1,eafric,NA,n/a,NA,NA,NA,NA,0,0,,,1,0,NA,NA
68,68,R_2xRiOHuu4tmQ3k1,Average Joes,1,igend,NA,n/a,NA,NA,NA,NA,0,0,,,1,0,NA,NA
69,69,R_2xRiOHuu4tmQ3k1,Average Joes,1,egend,NA,n/a,NA,NA,NA,NA,0,0,,,1,0,NA,NA
70,70,R_37QXf00ixlpprj3,BlackSwan,1,posaffect,NA,Please see my answers to the first survey (not revised),NA,NA,NA,NA,0,0,,,1,0,NA,NA
71,71,R_37QXf00ixlpprj3,BlackSwan,1,negaffect,NA,Please see my answers to the first survey (not revised),NA,NA,NA,NA,0,0,,,1,0,NA,NA
72,72,R_37QXf00ixlpprj3,BlackSwan,1,ideolrep,NA,Please see my answer to the original part of this survey.,NA,NA,NA,NA,0,0,,,1,0,NA,NA
73,73,R_37QXf00ixlpprj3,BlackSwan,1,ideoldem,NA,Please see my answer to the original part of this survey.,NA,NA,NA,NA,0,0,,,1,0,NA,NA
74,74,R_cD94fLrgJK1053j,blue duiker,1,polar,NA,NA,NA,NA,NA,NA,0,0,,,1,0,NA,NA
75,75,R_5mXcGasI1QWezgl,fearfulastra,1,lifesat,1,None.,NA,NA,NA,NA,0,0,,,1,0,NA,NA
76,76,R_5mXcGasI1QWezgl,fearfulastra,1,posaffect,1,None,NA,NA,NA,NA,0,0,,,1,0,NA,NA
77,77,R_5mXcGasI1QWezgl,fearfulastra,1,negaffect,1,None,NA,NA,NA,NA,0,0,,,1,0,NA,NA
78,78,R_5mXcGasI1QWezgl,fearfulastra,1,ideolrep,1,None,NA,NA,NA,NA,0,0,,,1,0,NA,NA
79,79,R_5mXcGasI1QWezgl,fearfulastra,1,ideoldem,1,None,NA,NA,NA,NA,0,0,,,1,0,NA,NA
80,80,R_5mXcGasI1QWezgl,fearfulastra,1,polar,1,None,NA,NA,NA,NA,0,0,,,1,0,NA,NA
81,81,R_5mXcGasI1QWezgl,fearfulastra,1,iasian,1,None,NA,NA,NA,NA,0,0,,,1,0,NA,NA
82,82,R_5mXcGasI1QWezgl,fearfulastra,1,easian,1,"I considered attempting to model an uptick in explicit bias against Asian-Americans as a consequence of racially-motivated explanations for social difficulties arising from the Pandemic, but couldn't operationalize it in a defensible way with the amount of time available.",NA,NA,NA,NA,0,0,,,1,0,NA,NA
83,83,R_5mXcGasI1QWezgl,fearfulastra,1,iafric,1,NA,NA,NA,NA,NA,0,0,,,1,0,NA,NA
84,84,R_5mXcGasI1QWezgl,fearfulastra,1,eafric,1,None,NA,NA,NA,NA,0,0,,,1,0,NA,NA
85,85,R_5mXcGasI1QWezgl,fearfulastra,1,igend,1,None,NA,NA,NA,NA,0,0,,,1,0,NA,NA
86,86,R_5mXcGasI1QWezgl,fearfulastra,1,egend,1,None,NA,NA,NA,NA,0,0,,,1,0,NA,NA
87,87,R_xyX2gsbAcFlJDt7,NotGreatWithNamesTeam,1,lifesat,0,We used this data (https://twitter.com/ShuhBillSkee/status/1261024444665016323/photo/1) to check that initial drops in life satisfaction should not influence the results any more. ,0,0,NA,NA,1,1,,,1,1,NA,NA
88,88,R_xyX2gsbAcFlJDt7,NotGreatWithNamesTeam,1,iasian,1,No other variables where included. ,NA,NA,NA,NA,0,0,,,1,0,NA,NA
89,89,R_1KrKirHTAtmQWfG,FMTeam,1,lifesat,1,None,NA,NA,NA,NA,0,0,,,1,0,NA,NA
90,90,R_1KrKirHTAtmQWfG,FMTeam,1,iasian,1,No other variables were included.,NA,NA,NA,NA,0,0,,,1,0,NA,NA
91,91,R_1KrKirHTAtmQWfG,FMTeam,1,iafric,1,No additional parameters were used. ,NA,NA,NA,NA,0,0,,,1,0,NA,NA
92,92,R_1KrKirHTAtmQWfG,FMTeam,1,eafric,1,No additional variables. ,0,0,NA,NA,1,0,,,0,0,NA,NA
93,93,R_1KrKirHTAtmQWfG,FMTeam,1,igend,1,No other variables considered. ,0,0,NA,NA,1,0,,,0,0,NA,NA
94,94,R_2wpETv2fShVR2Zx,Skuld Forecasting Systems,1,ideolrep,NA,"As mentioned above, through the calibration profile algorithm, we identify:
- Values for parameters that are reasonible, i.e. that would in a retro-prediction exercise using the model, consistently yield patterns that are close enough to the data.
- Some parameters seem to have a minimal impact on the model output. In fact, in our 7 parameters, most of the variation appears to concentrate on two only, and on a specific interval. Here, the calibration profile algorithm allows us to focus our attention to ""reasonible"" scenarios, and to make prediction computationally feasible.",7,0,NA,NA,7,7,,,1,7,1,NA
95,95,R_2wpETv2fShVR2Zx,Skuld Forecasting Systems,1,ideoldem,NA,"As mentioned above, through the calibration profile algorithm, we identify:
- Values for parameters that are reasonible, i.e. that would in a retro-prediction exercise using the model, consistently yield patterns that are close enough to the data.
- Some parameters seem to have a minimal impact on the model output. In fact, in our 7 parameters, most of the variation appears to concentrate on two only, and on a specific interval. Here, the calibration profile algorithm allows us to focus our attention to ""reasonible"" scenarios, and to make prediction computationally feasible.",7,0,NA,NA,7,7,,,1,7,1,NA
96,96,R_3sig6taL2uqG5wp,RTTMT,1,lifesat,NA,"I reasoned, do I have cause to believe that this is going to increase or decrease and concluded that it seemed to be likely to remain the same given past research and the fact that COVID-19 is not having much effect on life satisfaction in research I am reading/conducting.",NA,NA,NA,NA,0,0,,,1,0,NA,NA
97,97,R_3sig6taL2uqG5wp,RTTMT,1,posaffect,NA,None,NA,NA,NA,NA,0,0,,,1,0,NA,NA
98,98,R_3sig6taL2uqG5wp,RTTMT,1,negaffect,NA,None,NA,NA,NA,NA,0,0,,,1,0,NA,NA
99,99,R_3sig6taL2uqG5wp,RTTMT,1,ideolrep,NA,"I considered the upcoming election and Covid-19 polarization. However, I felt that it was more likely the pattern would continue than that I could predict a change.",2,0,NA,NA,2,2,,,1,2,NA,NA
100,100,R_3sig6taL2uqG5wp,RTTMT,1,ideoldem,NA,"I considered the upcoming election and Covid-19 polarization. However, I felt that it was more likely the pattern would continue than that I could predict a change.",2,0,NA,NA,2,2,,,1,2,NA,NA
101,101,R_ZDzzja7ctGRI0Df,King Octopus,1,lifesat,NA,I already mentioned above. ,12,0,NA,NA,0,2,,"From previous field: I relied on the life satisfaction literature. In the begining of COVID-19, your data already showed that life satisfaction maintained the increasing trend. I make sense of this early COVID trend that people actually enjoy spending time with their family. Yet, after June, they will realize that other aspects of life satisfaction (e.g., mastery) decline. In addition, their freedom is confined as well (SDT theory) in the lockdown or restrictions of their behavior. This will cause a sudden drop. After then, as I imentioned previous, I do not know if it will increase again or keep decreasing. It depends on news about vaccine and their hope that this will end soon. That one is unpredictable at the moment.",0,2,1,NA
102,102,R_2tM97nv8vKVkiWV,Broken Mirror Neurons,1,lifesat,NA,"Unemployment rates, types of jobs considered essential jobs, reopening guidelines and timeline. Employment is a source of life purpose, with many put on hold due to lock down restrictions. A decrease in lockdown regulations will result in a return of employment and a likely increase in purpose. ",3,0,NA,NA,6,3,,,0,4,NA,NA
103,103,R_2tM97nv8vKVkiWV,Broken Mirror Neurons,1,polar,NA,"Current political attitudes, economic relief policies, regulations to limit the spread of disease (e.g. social distancing, lockdowns, quarantining), speed of federal response, attitudes and valence of political leadership response. In considering these variables, we evaluated the magnitude of these influences as non-weighted contributors to the predicted outcome. ",6,1,3,time to enforcement of public health measures,6,6,,,1,6,NA,NA
104,104,R_2tM97nv8vKVkiWV,Broken Mirror Neurons,1,iasian,NA,"Political leadership response, unemployment rate, COVID-19 deaths, regulations to limit the spread of disease (e.g. social distancing, lockdowns, quarantining), pre-pandemic sentiment towards Asia/Asian Americans. In considering these variables (among others), we evaluated these influences as non-weighted contributors to the predicted outcome.",5,1,2,NA,5,6,,,0,6,NA,NA
105,105,R_2tM97nv8vKVkiWV,Broken Mirror Neurons,1,easian,NA,"Geographical location, exposure to COVID-19 news, exposure to COVID-19 patients, COVID-19 health literacy, political leadership response, unemployment rate, COVID-19 deaths, regulations to limit the spread of disease (e.g. social distancing, lockdowns, quarantining), pre-pandemic sentiment towards Asia/Asian Americans. In considering these variables (among others), we evaluated these influences as non-weighted contributors to the predicted outcome.",9,1,2,NA,12,9,,,0,10,NA,NA
106,106,R_1hBj0OFNl0kStor,Imielin,1,lifesat,NA,"Weather (lower LS scores during holidays in July - because people will leave twitter also, and during Autumn because of being afraid of a new wave of COVID), COVID deaths, home-office, unemployment, taking care of kids, political problems, long waiting for medical help.",8,1,1,NA,7,7,,,1,7,NA,NA
107,107,R_1hBj0OFNl0kStor,Imielin,1,posaffect,NA,"Covid deaths, unemployment, taking care of children, home-office, political changes, social changes in communication and groups prejudice, health problems connected with medical treatment, being afraid of all situation, general anxiety",8,1,1,NA,10,10,,,1,10,NA,NA
108,108,R_1hBj0OFNl0kStor,Imielin,1,negaffect,NA,"Covid deaths, unemployment, taking care of children, home-office, political changes, social changes in communication and groups prejudice, health problems connected with medical treatment, being afraid of all situation, general anxiety",8,1,1,NA,10,10,,,1,10,NA,NA
109,109,R_1hBj0OFNl0kStor,Imielin,1,ideolrep,NA,"Covid deaths, unemployment rate, home-office, taking care of children, closed schools, medical problems (with easy medical treatment), political decisions, media influence",8,1,1,NA,8,8,,,1,8,NA,NA
110,110,R_1hBj0OFNl0kStor,Imielin,1,ideoldem,NA,"Covid deaths, unemployment rate, home-office, taking care of children, closed schools, medical problems (with easy medical treatment), political decisions, media influence",8,1,1,NA,8,8,,,1,8,NA,NA
111,111,R_1hBj0OFNl0kStor,Imielin,1,polar,NA,"Covid deaths, unemployment rate, political leadership change, political decisions, changing rules in social distancing that influence on my personal life",5,1,1,NA,8,8,,,1,8,NA,NA
112,112,R_1hBj0OFNl0kStor,Imielin,1,iasian,NA,"COVID deaths, media information, statistics about how Asian countries managed the COVID pandemic, if I have Asian friends or not (as a participant of the study), if I was previously racist, personality traits and other psychological variables that make people more racist",7,1,1,NA,7,7,,,1,7,NA,NA
113,113,R_1hBj0OFNl0kStor,Imielin,1,easian,NA,"COVID deaths, media information about Asian people, statistics about Asian countries and COVID, fake news about Asians, personality trains, previous racism, political views, psychological trains like collective narcism",8,1,1,NA,8,8,,,1,8,NA,NA
114,114,R_1hBj0OFNl0kStor,Imielin,1,iafric,NA,"COVID deaths, unemployment rate, statistics about African countries and COVID, fake news, previous contacts with African people, personality traits and other psychological traits like a collective narcism",7,1,1,NA,8,7,,,0,7,NA,NA
115,115,R_1hBj0OFNl0kStor,Imielin,1,eafric,NA,"COVID deaths, the problem with work like unemployment, home-office, fakes news about African people, statistics for African countries connected with COVID, do participants know African people closely, personality traits, other psychological traits like collective narcism",8,1,1,NA,8,8,,,1,8,NA,NA
116,116,R_1hBj0OFNl0kStor,Imielin,1,igend,NA,"COVID deaths, home-office, unemployment, closed schools, school at home, social distancing rules connected with family/children, personality traits, previous views about gender and family, personal life (participant's gender, their relationships status, having children or not)",9,1,1,NA,9,11,,,0,11,NA,NA
117,117,R_1hBj0OFNl0kStor,Imielin,1,egend,NA,"COVID deaths, home-office, unemployment, the school closed, teaching at home, previous views about gender discrimination, personality traits, personal life situation like having children, being in the relationship, etc.",9,1,1,NA,9,9,,,1,9,NA,NA
118,118,R_3j7K6Ger5hGCVIr,Nurni Flowenol,1,lifesat,NA,expected challenges in the economy,1,0,NA,NA,1,1,,,1,1,NA,NA
