"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","t.consent_First.Click","t.consent_Last.Click","t.consent_Page.Submit","t.consent_Click.Count","covidest_1","covidest_2","covidest_3","covidest_4","covidest_5","covidest_6","covidest_7","covidest_8","covidest_9","covidest_10","covidest_11","covidest_12","t.covid_First.Click","t.covid_Last.Click","t.covid_Page.Submit","t.covid_Click.Count","Age","t.demo_First.Click","t.demo_Last.Click","t.demo_Page.Submit","t.demo_Click.Count","Sex","Genderident","Genderident_5_TEXT","Education","Occupation","Ethnicity","Religion","Religion_Other","Politics_1","Country.of.Residence","Residential.Area","Income","Comments","PID","STUDY_ID","SESSION_ID","complete","Issue","Useless","Month.1","Month.2","Month.3","Month.4","Month.5","Month.6","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","predNumber","First.Click","Last.Click","Page.Submit","Click.Count","details","upload_Id","upload_Name","upload_Size","upload_Type","up_First.Click","up_Last.Click","up_Page.Submit","up_Click.Count","any_First.Click","any_Last.Click","any_Page.Submit","any_Click.Count","confidence","basis","basis_text","theory","parameters","covidcondyn","coviddesc","Intuition","Theory","Simulation","DataDriven","Other","Method","Error","OM.Flag","HK.Flag","Agreement","OM.Comment","HK.Comment","Final.Code","Final.OT","Disagreement","OT.Flag","OT.Comment"
"305",305,"6/3/2020 16:12","6/3/2020 16:46",0,"104.172.196.168",100,2080,1,"6/3/2020 16:46","R_1IAXQfSkfDr25GV",NA,NA,NA,NA,33.74209595,-118.3101959,"anonymous","EN",0,0,19.101,0,1000000,1500000,2500000,4000000,6000000,7000000,8500000,10000000,12000000,15000000,20000000,25000000,19.629,125.855,153.622,5,35,1.871,8.404,14.753,5,1,2,NA,5,"Product Manager",4,10,NA,3,"USA",2,8,"The data points on the excel sheets seemed confusing and unnecessary.  I think you could get the data in a less abstract way by asking questions on a scale about how much worse or better things will get on a 1-100 scale month by month.  I hated adding negative signs and other entries.","5e9a85b90b6a2711a98837ca","5ed7c6806cb9612735cc3980","5ed803bc6e439f2e62b4299a",1,"posaffect","pred",-1,-0.75,-0.6,-0.75,-1,-0.75,-0.3,-0.6,-0.75,-1,-0.75,-0.5,1778,32.555,32.555,32.558,1,2,"F_XUpRCCe7iMkEby9","affect.xlsx",43005,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",36.501,143.251,181.29,5,5.109,233.496,237.068,8,5,"1,5","COVID lockdown cycle","I predict that there will be another lockdown/covid flare-up cycle and that will impact peoples' emotions and how they express them on Twitter.  I predict that the there will be another flareup in fall and a worse flare-up in the middle of next winter.","I considered COVID-19 infections and the fallout from another flare-up taking place.  Now that you mention it... I completely forgot there is an election cycle coming up in November and the number of negative emotions is going to increase significantly around that time.  I think Trump might get re-elected and a lot of people who are outspoken on twitter (younger userbase) will express themselves there.",1,"I think that there will be an increase in cases from the recent re-opening of the economy that will lead to a flare up in the next month or 2.  It will then subside and re-flare up when fall and deep winter arrive and people are spending more time indoors in close quarters to each other.",1,0,0,0,1,"Mixed",0,0,0,1,NA,NA,0,0,NA,NA,NA
"306",306,"6/3/2020 15:42","6/3/2020 16:46",0,"70.180.132.125",100,3850,1,"6/3/2020 16:46","R_12zfxfDqPsOYF0n",NA,NA,NA,NA,36.05880737,-115.3104019,"anonymous","EN",8.245,10.275,11.201,2,700000,800000,900000,930000,950000,980000,990000,1000000,1000500,1001000,1002000,1003000,43.982,180.187,181.031,18,35,1.277,8.68,10.763,6,2,1,NA,4,"transcriber",4,10,NA,1,"USA",1,4,"I'm sure I completed it correctly, but I'm not good at predictions and sometimes don't have a clear answer for how I did my thinking.","5cb568ebf0e31e0017d9bf32","5ed7c6806cb9612735cc3980","5ed7fc071b120911e3edebac",1,"posaffect","pred",-1.3,-1.4,-1.5,-1.3,-1.2,-1.5,-1.2,-1,-1.5,-1.6,-1.3,-1.3,1784,3.808,2043.359,2044.566,11,1,"F_1FlcW8NbEok3ZZz","affect(1).numbers",764952,"application/x-iwork-numbers-sffnumbers",46.773,500.02,503.901,44,6.317,85.053,125.789,6,2,"1",NA,"My forecast is not based on theoretical assumptions, because I really don't have a clue about the theoretical side.","I just kinda went up and down, because that is how things usually go. Not much though process and I didn't exactly use any variables.",2,NA,1,0,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"307",307,"6/3/2020 16:31","6/3/2020 16:47",0,"207.5.148.68",100,934,1,"6/3/2020 16:47","R_2DV4X8bPCcj2Auq",NA,NA,NA,NA,44.88650513,-68.71720123,"anonymous","EN",8.52,8.805,14.09,2,60000,60000,60000,60000,40000,30000,30000,20000,20000,20000,20000,10000,1.75,43.174,46.017,19,21,2.263,4.881,9.533,3,2,1,NA,3,"Pet Care Specialist",4,10,NA,2,"USA",2,6,"I'm not too familiar with excel and the numbers involved in the graph but I tried my best to estimate it all and figure it out","5e89550b220e2f5f277597f0","5ed7c6806cb9612735cc3980","5ed8089c9b6b9513670a5052",1,"posaffect","pred",1,1,1,1,2,2,3,3,3,4,4,4,1786,1.862,238.537,239.348,20,1,"F_3lAhDrImBVtHO7N","affect (1).xlsx",62243,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.836,64.262,67.496,33,1.973,82.731,85.409,19,3,"1,5","Based on how people have been acting on Twitter recently with everything going on","I based my predictions on how Twitter has been recently. Things have been pretty negative on Twitter within the past couple months, especially within the past few days, and I don't expect things to change anytime soon.","Additional variables I considered were COVID-19, police brutality, racism, and the protests and riots that have been going on.",1,"I put that things would be pretty negative in the oncoming months because of COVID-19. ",1,0,0,0,1,"Mixed",0,0,0,1,NA,NA,0,0,NA,NA,NA
"308",308,"6/3/2020 16:21","6/3/2020 16:47",0,"99.93.49.202",100,1532,1,"6/3/2020 16:47","R_BRqcONdKsXDoNCF",NA,NA,NA,NA,32.96279907,-96.3647995,"anonymous","EN",0,0,15.539,0,600000,650000,60000,550000,500000,550000,500000,450000,475000,400000,300000,100000,30.667,108.155,118.208,13,45,2.218,22.512,24.933,4,1,2,NA,6,"Unemployed",4,4,"Church of Christ",5,"USA",2,5,NA,"5dd3f2a19dac7c3cbe8a3c85","5ed7c6806cb9612735cc3980","5ed8065f09cfd02fe899d9a4",1,"posaffect","pred",-1.4,-1.4,-1.28,-1.05,-1,-0.9,-0.95,-1,-0.89,-0.86,-0.9,-1.1,1791,21.89,47.639,48.764,5,2,"F_0unPd7tiFyr2qPf","affect.xlsx",43037,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",10.509,171.06,190.581,6,7.287,143.907,155.48,6,2,"1",NA,"I referenced the historical data to get a range of scores.  I then considered all of the craziness that's occurring in our country.  Assume things will be more negative before getting more positive.  November will probably be off, didn't factor in the election.","Yes, I noted in prior box.",1,"I didn't give it a huge weight, I think other events are starting to outweigh that believe it or not.",1,0,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"309",309,"6/3/2020 16:14","6/3/2020 16:47",0,"72.46.207.52",100,1978,1,"6/3/2020 16:47","R_UfMnVxkOdxdSJTH",NA,NA,NA,NA,29.57989502,-95.60849762,"anonymous","EN",53.199,53.199,104.882,1,600000,601000,614000,65500,660000,664000,664130,664320,664440,664546,664565,664667,11.992,169.059,169.385,22,20,5.919,12.796,14.264,3,2,1,NA,3,"student",2,2,NA,2,"USA",2,6,"noo","5e90dd4746d11b40a59c5e7f","5ed7c6806cb9612735cc3980","5ed804ae54fe05300f1b438b",1,"posaffect","pred",0.66,0.68,0.56,1,0.75,0.58,1.34,1.25,0.45,0.66,1.37,0.54,1795,47.29,67.658,68.748,2,1,"F_viCuopy6ASLPV3X","affect.xlsx",42876,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",169.961,267.184,271.387,28,4.441,94.884,98.504,6,3,"1,3",NA,"n/a","based on the situation the world is in there may be more negative emotional impact occuring for the next few months, also hurricane season is coming up, based on the trend of the past years it seems that there is a constant rise and fall patter occurring almost every month",1,"i think more negative emotions will rise as the second wave is supposed to hit and it is predicted to be much worse than the first",1,0,1,0,0,"Mixed",0,0,0,1,NA,NA,0,0,NA,NA,NA
"310",310,"6/3/2020 16:26","6/3/2020 16:47",0,"50.39.215.97",100,1261,1,"6/3/2020 16:47","R_30qI5NCIVdWJ1uY",NA,NA,NA,NA,45.52209473,-122.8585052,"anonymous","EN",0,0,29.053,0,1000000,1500000,2000000,24000000,26000000,29000000,3000000,31000000,32000000,34000000,35000000,36000000,9.629,95.502,96.499,8,25,5.41,7.76,9.657,3,1,2,NA,5,"Teacher",4,10,NA,4,"United States",2,7,"It was fairly confusing having to download and reupload the files as well as submit the data manually. I actually reuploaded the wrong file on the first one and was unable to fix my mistake when I realized it as I couldn't go back.","5eb5addf6d8d4847fdba6686","5ed7c6806cb9612735cc3980","5ed8077f9e6b4a30c63d8fb9",1,"posaffect","pred",0.91,0.6,0.63,0.65,0.82,0.91,1.1,1.3,1.2,0.98,1.1,1.2,1797,12.117,12.117,12.12,1,2,"F_24LQ5MXa0lJPYoS","affect.ods",42710,"application/vnd.oasis.opendocument.spreadsheet",306.644,367.306,368.369,2,1.098,1.098,44.429,1,2,"1",NA,"I believe that the current world events will cause generally more negative emotions than positive emotions.","I considered COVID-19 and the current civil unrest.",1,"I believe that it will generally cause more negative emotions as time continues.",1,0,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"311",311,"6/3/2020 16:19","6/3/2020 16:47",0,"50.89.245.72",100,1735,1,"6/3/2020 16:48","R_30139Zt1MEVEscr",NA,NA,NA,NA,28.54640198,-81.25849915,"anonymous","EN",0,0,12.986,0,100000,102000,102200,102220,102230,102500,102500,102500,102500,102500,102500,102500,31.723,96.3,98.126,27,34,5.224,11.195,12.868,3,1,2,NA,6,"Adjunct Instructor",7,10,NA,4,"United States",2,2,"None","5cf16a90201b8000170c7b3f","5ed7c6806cb9612735cc3980","5ed805b319fa7f2fb2fb11cc",1,"posaffect","pred",-1.8,-1.5,-1.2,-1.1,-0.96,-0.9,-0.9,-0.85,-0.7,-0.65,-0.6,-0.8,1799,29.442,29.442,29.447,1,1,"F_1MYyE9yOwPgn7QI","affect.xlsx",43635,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",6.7,130.729,180.499,22,8.403,140.652,244.201,6,5,"1,4,5","Based on the median, mean, maximum, and minimum values","I think most people vent their anger in Twitter and other social media, so there is be more negative opinions over positive ones. The negative emotions will predominate, considering the political divide fuelled by the media and others. The COVID crisis is also going to help the negative emotions. ","Both stochastic variables and rare events will influence emotions. However, I believe there is a trend towards negative over positive emotions in the social media. Political divide will play a major role. ",1,"COVID pandemic will have undesirable economic consequences. As a result, one can expect more negative emotions in the social media. ",1,0,0,1,1,"Mixed",0,0,0,1,NA,NA,0,0,NA,NA,NA
"312",312,"6/3/2020 16:02","6/3/2020 16:48",0,"74.96.203.66",100,2703,1,"6/3/2020 16:48","R_3Rh3hRXdBytIhdn",NA,NA,NA,NA,39.01269531,-77.53420258,"anonymous","EN",0,0,7.186,0,1700000,2300000,2800000,3200000,3500000,3700000,4500000,5500000,6300000,6700000,6900000,7200000,13.757,171.182,174.863,6,34,3.115,5.034,6.317,3,1,2,NA,5,"Accountant",4,4,NA,4,"United States",2,8,"This was an interesting study as I enjoy using excel, but I am not sure my estimating methods were not the best.","5dd3e3d286411b3cd7aaa0c9","5ed7c6806cb9612735cc3980","5ed801eeb940fe2f48e61aa1",1,"posaffect","pred",-0.892437162173374,-1.1783080773089,-1.00178711868495,-1.19253286250228,-1.11611428837856,-0.906351165130941,-1.15967899191865,-1.40965630060688,-0.901435009877132,-0.961829592929909,-1.30819170557399,-1.09224018195329,1801,8.735,18.183,18.186,3,1,"F_1FLnAAyilJASQWe","affect - Completed.xlsx",43646,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",43.928,161.164,164.655,30,1.625,121.686,131.773,7,2,"5","Based on average changes between months.","My process for positive and negative emotions took into account that there were changes between each month. I then averaged the changes between each month and added it to the previous month. For April 2021 I took the number for March 2021 and added to that the average change from March to April based on the data provided and continued that through the estimate period.","I did not take into account variables in my predictions.",2,NA,0,0,0,0,1,"Data-Driven",0,0,0,1,NA,NA,0,0,NA,NA,NA
"313",313,"6/3/2020 16:02","6/3/2020 16:48",0,"24.136.20.86",100,2717,1,"6/3/2020 16:48","R_1IoWaY4KQO4LHpy",NA,NA,NA,NA,42.03540039,-87.73699951,"anonymous","EN",136.557,137.914,138.735,4,550000,650000,600000,580000,560000,600000,615000,650000,675000,650000,630000,600000,29.367,184.794,207.47,10,28,3.187,10.733,12.679,3,2,1,NA,8,"Resident Physician",5,4,NA,3,"USA",2,5,"Very interested to see how people's predictions will play out in the coming year.","5e9b3f02c99dc204077e4fef","5ed7c6806cb9612735cc3980","5ed801e05cd39c2ff7234c41",1,"posaffect","pred",1,1.2,1.4,1.1,1.2,1.05,1.02,1.1,0.8,1.2,0.7,1.3,1802,42.109,42.109,42.114,1,2,"F_1CC172qKgSlWvEC","affect.xlsx",43069,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",7.077,160.916,174.78,6,17.349,27.631,34.271,4,5,"3,4",NA,"N/A","No",2,NA,0,0,1,1,0,"Mixed",0,0,0,1,"only 1 basic answer ",NA,0,0,NA,NA,NA
"314",314,"6/3/2020 16:22","6/3/2020 16:48",0,"73.119.50.127",100,1583,1,"6/3/2020 16:48","R_XQYqJbt7djjPmcV",NA,NA,NA,NA,42.37680054,-71.06109619,"anonymous","EN",8.189,8.189,9.309,1,1000000,1200000,1220000,1250000,1300000,1310000,1312000,1313000,1315000,1315500,1315600,1315650,14.397,56.574,56.902,15,28,0.96,4.448,5.56,4,1,2,NA,6,"accountant",2,2,NA,3,"usa",1,6,"na","5b5e8511db56360001f4ce88","5ed7c6806cb9612735cc3980","5ed8066d572b9c137ff0d7f8",1,"posaffect","pred",-1,-0.8,-1.4,-1,-1.2,-0.75,-1.5,-1.1,-1.4,-0.9,-1.5,-1.2,1812,6.208,98.934,98.936,2,2,"F_3CH2Xi9Oq36yS5E","affect.xlsx",43138,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",31.231,162.797,164.277,27,3.261,3.261,39.108,1,4,"1",NA,"na","I just follow the trend from previous data",2,NA,1,0,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"315",315,"6/3/2020 16:01","6/3/2020 16:49",0,"172.1.65.34",100,2861,1,"6/3/2020 16:49","R_240BRL7u0ANPF2j",NA,NA,NA,NA,37.52340698,-120.8516998,"anonymous","EN",0,0,16.473,0,590000,592000,596000,612000,618000,630000,645000,660000,680000,692000,700000,712000,37.968,140.581,180.413,6,32,5.347,11.723,15.756,3,1,2,NA,2,"Twitch Streamer",4,4,"Methodist",6,"United States of America",2,5,NA,"5ec1c41a1f98090e8c119332","5ed7c6806cb9612735cc3980","5ed80181f350d712f13ce06d",1,"posaffect","pred",-0.89,-0.91,-0.87,-0.91,-1.01,-0.85,-0.72,-0.76,-0.78,-0.86,-0.91,-0.85,1817,24.011,24.011,24.023,1,2,"F_1HiSKcSmeRi8XTc","affect.xls",12288,"application/octet-stream",18.933,608.625,613.681,38,8.679,257.11,279.431,5,5,"1",NA,"I looked at the charts and made decision based on past data.","I have considered Covid-19, unemployment, election and New years.",2,NA,1,0,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"316",316,"6/3/2020 16:01","6/3/2020 16:49",0,"24.163.120.110",100,2891,1,"6/3/2020 16:49","R_2tD5RoXj08WHZbn",NA,NA,NA,NA,35.98249817,-78.53759766,"anonymous","EN",0,0,46.856,0,600000,610000,626000,700000,730000,731000,750000,774000,782000,800000,802000,802700,131.044,292.911,303.508,18,18,4.065,10.389,12.747,3,2,1,NA,2,"Lifeguard",6,2,NA,4,"United States",2,5,"No.","5ed34819819be61c71a94e7e","5ed7c6806cb9612735cc3980","5ed801879a2ae02f2366be22",1,"posaffect","pred",0.41,0.5,0.46,0.34,1.23,1.45,1.54,1.7,1.76,1.8,1.74,1.61,1820,7.091,76.78,78.556,2,1,"F_3Mthd8X1ABcZrgT","Untitled.numbers",807236,"application/octet-stream",572.598,789.589,802.786,44,1.017,206.18,207.608,7,4,"1,2",NA,"People's emotions right now are most probably being affected directly by national problems more today than in the past few years and based on the situations today, a bad atmosphere is shared between everyone as of now and won't get better until much later. That is only if some other problem doesn't arise, which is likely.","Yes. I considered the ongoing protests happening nationwide, COVID-19 professional predictions and numbers, political information and announcements, and the potential increase in cases/ a second wave.",1,"COVID-19 plays a huge role in affecting people's lives directly. People are in quarantine, and that alone likely arises negative emotions. The increase in deaths will leave families grieving, and the news of a possible second wave of COVID-19 and the announcement of the lack of preparation for it is less than reassuring. Schools will continue in August, and the unrest caused by the virus will probably spike the negative emotions nationwide. ",1,1,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"317",317,"6/3/2020 16:25","6/3/2020 16:49",0,"185.244.215.203",100,1427,1,"6/3/2020 16:49","R_27Hj4U2kbCCGsVT",NA,NA,NA,NA,40.71569824,-74,"anonymous","EN",0,0,8.018,0,700000,750000,625500,500000,455000,325000,300000,285200,150000,80000,45000,20000,20.342,189.059,192.2,36,34,2.623,22.828,26.064,7,2,1,NA,5,"Accountant",4,3,NA,4,"United States",1,1,"It was quite a tedious but revealing task.","5ec92d668c3f91052e3c4221","5ed7c6806cb9612735cc3980","5ed7ffccec9d1d1227ad9211",1,"posaffect","pred",-1.35,-1.45,-1.32,-1.28,-1.39,-1.5,-1.48,-1.46,-1.3,-1.27,-1.24,-1.21,1824,26.365,55.02,57.333,3,1,"F_3KD98Sf9FvYeh6p","Copy of affect.xlsx",43092,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",7.85,133.497,137.414,33,8.439,20.579,21.922,4,5,"1",NA,"NOne","None",1,"People are generally down as the COVID-19 is affecting almost every facet of human lives. Therefore, negative emotion is bound to be on the rise.",1,0,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"318",318,"6/3/2020 16:15","6/3/2020 16:49",0,"99.203.75.151",100,2035,1,"6/3/2020 16:49","R_1LUQlRMMz1RJl5p",NA,NA,NA,NA,34.17779541,-118.3092957,"anonymous","EN",24.564,25.229,26.237,2,65000,68000,72000,76000,79000,82000,84000,90000,93000,96000,98000,100000,3.76,97.455,98.315,41,31,1.401,6.467,7.052,6,2,1,NA,4,"Information service",3,10,NA,4,"Usa",1,2,NA,"56849d528f456f000c45e1dd","5ed7c6806cb9612735cc3980","5ed803af62416b30703a37b0",1,"posaffect","pred",1.5,2,2,1.5,2,2,2,2,1.5,1.5,2,2,1827,7.443,19.801,19.801,16,2,"F_2ruRzQHAkWwCB1Q","affect.xlsx",42975,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.47,380.748,382.128,98,8.956,73.607,74.482,8,5,"1",NA,"I just made my descions based on my intuition and the current information on the map","No other variables I considered",2,NA,1,0,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"319",319,"6/3/2020 16:25","6/3/2020 16:49",0,"68.174.166.122",100,1438,1,"6/3/2020 16:49","R_eyN9Ghgn2SVWQDL",NA,NA,NA,NA,40.83900452,-73.94599915,"anonymous","EN",0,0,18.746,0,1000000,1800000,2000000,2200000,2250000,2280000,2285000,2300000,2310000,2320000,2330000,2340000,25.206,411.878,419.355,43,20,2.588,8.154,10.824,4,2,1,NA,3,"Student",2,2,NA,2,"USA",1,3,NA,"5eb36e10b5441816445ec897","5ed7c6806cb9612735cc3980","5ed8074219fa7f2fb2fb11d0",1,"posaffect","pred",-1.5,-1.5,-1.5,-1.2,-1.2,-1.2,-1.2,-1.5,-1,-1,-1,-1,1832,27.885,341.947,343.55,2,2,"F_8HckghynXl6ElKV","affect.xlsx",42861,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",37.155,108.535,110.611,24,5.115,105.793,115.015,9,3,"1",NA,"I looked through past data and when there were spikes and drops. I also factored in current events. ","I included COVID-19 infections and deaths, unemployment due to Covid-19 and events like the black lives matter protests",1,"I think during spikes, negative emotions will be high and positive emotions will be low.",1,0,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"320",320,"6/3/2020 16:22","6/3/2020 16:50",0,"72.180.93.55",100,1638,1,"6/3/2020 16:50","R_2v2OaxWIXARMwWj",NA,NA,NA,NA,33.07569885,-96.78269958,"anonymous","EN",0,0,6.55,0,700000,850000,960000,1020000,1300000,1500000,3000000,31000000,3400000,4100000,4600000,5100000,31.396,195.503,204.723,22,22,1.901,9.535,11.129,4,2,1,NA,5,"Student",4,10,NA,2,"United States",1,3,"The first part lacked in instructions, as not everyone understands what a z-score is.","5e67bae25d9f0e028303715e","5ed7c6806cb9612735cc3980","5ed8068a47cfe5130ccaa89a",1,"posaffect","pred",-1,-1.2,-1.2,-1.1,-1.1,-1.5,-1.4,-1.2,-1.2,-1.3,-1.2,-1.4,1833,27.661,27.661,27.667,1,1,"F_1pzX6uP8BLo3nWZ","affect.xlsx",42678,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",8.353,486.298,524.465,8,7.289,86.886,198.532,2,1,"1",NA,"I looked at the values from previous years as well as the fluctuations, and tried to follow the pattern. I expect there to be more of both positive and negative emotions towards Twitter in the coming months.","Yes, I did. I thought about Covid-19, as well as, Twitter marking Trump's tweet as fact check needed. I also thought about Facebook not being willing to stop the spread of hatered among its platform.",1,"I think that people will recognized the amount of false information spread across social media due to the overwhelming amount of information around Covid-19 pandemic.",1,0,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"321",321,"6/3/2020 16:25","6/3/2020 16:50",0,"98.148.180.216",100,1495,1,"6/3/2020 16:50","R_WkS7q3oP8CwMe89",NA,NA,NA,NA,33.88400269,-117.894104,"anonymous","EN",0,0,11.229,0,700000,750000,800000,750000,700000,650000,600000,600000,550000,500000,450000,400000,19.438,19.438,61.105,1,29,2.142,6.595,7.949,4,2,1,NA,5,"homemaker",4,3,NA,6,"USA",2,7,NA,"5a9493ce873cda0001dc6dfb","5ed7c6806cb9612735cc3980","5ed80716f5dc712ef958bbfd",1,"posaffect","pred",1,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1835,25.194,33.376,34.456,4,2,"F_1OK7OCGzxdXiF5W","affect.ods",50276,"application/vnd.oasis.opendocument.spreadsheet",16.856,35.966,70.514,13,1.205,15.093,24.685,2,2,"4",NA,"I looked at the past data and make my predictions based on that.","No, I only relied on the data to make my decisions.",2,NA,0,0,0,1,0,"Data-Driven",0,0,0,1,NA,NA,0,0,NA,NA,NA
"322",322,"6/3/2020 16:28","6/3/2020 16:50",0,"66.30.64.206",100,1299,1,"6/3/2020 16:50","R_11YlVZD2WUms5od",NA,NA,NA,NA,42.55830383,-70.87819672,"anonymous","EN",0,0,8.498,0,700000,800000,850000,900000,960000,1000000,101000,1100000,1200000,1300000,1350000,1400000,25.535,117.519,122.664,13,45,2.343,8.038,9.986,6,2,1,NA,7,"self-employed",4,2,NA,1,"United States of America",2,1,"A bit boring.","5e7fe0a46db6e86cd7c6b213","5ed7c6806cb9612735cc3980","5ed807f82fb6183062aa2380",1,"posaffect","pred",-0.9,-0.7,-0.8,-0.9,-1,-1.5,-2,-1.4,-1.3,-1.1,-1,-0.9,1837,22.597,36.776,38.023,3,2,"F_Dv3NKE770Ifqoox","affect.xlsx",24165,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",35.419,197.26,198.708,33,3.106,28.709,47.54,3,3,"1,5","There's a US election coming up.","There's going to be significantly more unrest in the next few months, especially in the US.","I definitely thought of the election coming up and what happened after the 2016 US elections.",1,"I think the spike downwards will be due to the election and a 2nd spike in covid-19 infections.",1,0,0,0,1,"Mixed",0,0,0,1,NA,NA,0,0,NA,NA,NA
"323",323,"6/3/2020 16:24","6/3/2020 16:50",0,"97.95.203.216",100,1563,1,"6/3/2020 16:50","R_2e9KHcsCvWaFZNu",NA,NA,NA,NA,34.78430176,-82.3030014,"anonymous","EN",3.693,4.665,5.414,3,1000000,1200000,1400000,1500000,1600000,1750000,1900000,2050000,2200000,2350000,2400000,2450000,2.392,67.562,113.501,18,36,4.028,6.642,8.435,6,1,2,NA,4,"Chef",2,3,NA,5,"United states",2,6,"It was difficult and made me feel nervous.","5d2e1c52c3651500159f0a69","5ed7c6806cb9612735cc3980","5ed806f9f05e673019f8bcc3",1,"posaffect","pred",-1.3,-1.28,-1.33,-1.3,-1.28,-1.34,-1.36,-1.35,-1.41,-1.39,-1.4,-1.43,1838,1.935,9.866,9.874,8,1,"F_Btyl1wjBtVkxgXf","affect.xlsx",43072,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.327,142.978,170.31,10,1.352,37.992,59.699,4,5,"1,4",NA,"I saw that the negative and positive emotions flowed well together and followed similar patterns and kept the pattern the same.","I was thinking about the election and supposed spike of COVID 19 in the winter.",1,"The role of COVID 19 will negatively impact people and how they feel since everyone will be social distancing and having to stay apart from each other.",1,0,0,1,0,"Mixed",0,0,0,1,NA,NA,0,0,NA,NA,NA
"324",324,"6/3/2020 15:58","6/3/2020 16:50",0,"71.193.181.127",100,3140,1,"6/3/2020 16:50","R_21ExT9KjTcQx04y",NA,NA,NA,NA,44.59280396,-123.2745972,"anonymous","EN",190.19,190.19,190.881,1,1800000,6000000,20000000,30000000,60000000,90000000,10000000,15000000,17000000,19000000,22000000,25000000,5.355,245.947,275.456,31,36,4.686,12.161,12.928,5,2,1,NA,5,"occupational therapy",4,3,NA,7,"United States",2,7,"It was challenging to transfer my numbers over from the spreadsheet to the form and make sure I got them correct for the second spreadsheet.","5dd4bd7ae4f4a0499548a810","5ed7c6806cb9612735cc3980","5ed800c5cc49da123c1712dd",1,"posaffect","pred",-1.1,-1.4,-1.2,-1.6,-1.2,-1.4,-1.2,-1.7,-1.2,-1.4,-1.2,-1.5,1842,2.755,83.762,83.767,6,1,"F_2rHi7R4dieP86YF","affect.xlsx",42680,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",30.093,1085.567,1086.331,60,1.753,77.357,78.048,4,2,"1,4",NA,"I used the provided figures from the last year and then also used my knowledge of what happened in 1918 to apply to those numbers.","Yes, I used the current unrest from race relations, Covid 19 effects and economic effects from Covid 19.",1,"The ups and downs of the waves will have an impact on positive and negative emotions. Also I think people are sharing more on social media now due to lockdowns so I took that into effect as well.",1,0,0,1,0,"Mixed",0,0,0,1,NA,NA,0,0,NA,NA,NA
